OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,convert_color,gaussian_blur,sobel,convert_scale,sobel2,conver_scale2,add_weighted,show_img
40,1.003117,0.02505721,1.583e-06,0.009348318,0.001249165,0.008223653,0.000337666,0.00225308,0.000374083,0.002372329,0.000583082,0.00031425
41,1.028175,0.03012762,1.417e-06,0.008648569,0.001899997,0.008925236,0.000338916,0.006739322,0.000391499,0.002245663,0.000585333,0.000351666
42,1.058302,0.02772337,9.16e-07,0.007514738,0.001342248,0.01228273,0.000413916,0.002499246,0.000385583,0.002383912,0.000587666,0.000312416
43,1.086026,0.02665437,1.5e-06,0.006401323,0.004599076,0.009371901,0.000340083,0.002245413,0.000381999,0.002414579,0.000583583,0.000314916
44,1.11268,0.02882937,1e-06,0.009772484,0.001075915,0.008226403,0.00033925,0.002255246,0.000370833,0.005828324,0.000593915,0.000366
45,1.141509,0.03087662,1.083e-06,0.01135632,0.001386914,0.00822532,0.000339333,0.005807657,0.000426583,0.002300163,0.000587999,0.000445249
46,1.172386,0.02447038,1e-06,0.00865857,0.001345831,0.008221486,0.000349083,0.00234008,0.000412666,0.002239496,0.000574999,0.000327166
47,1.196856,0.02567096,1.167e-06,0.009688901,0.001256998,0.00829357,0.000371082,0.002381496,0.000384417,0.002237579,0.000701416,0.000354332
48,1.222527,0.02566321,1.333e-06,0.009205068,0.000987999,0.009119401,0.000334417,0.002432079,0.000384499,0.002268913,0.000612916,0.000316583
49,1.248191,0.02437763,1e-06,0.008638986,0.001267248,0.008380237,0.000337082,0.00223933,0.000382166,0.002237246,0.000584833,0.000309499
50,1.272568,0.02511138,1.167e-06,0.009315484,0.001305915,0.00830457,0.000339583,0.002336746,0.000372249,0.002240413,0.000583749,0.0003115
51,1.29768,0.02485213,9.17e-07,0.008607152,0.001253248,0.008712236,0.000337416,0.002237997,0.000380916,0.002327746,0.000667749,0.000326749
52,1.322532,0.02445538,1.584e-06,0.008865985,0.001221415,0.008236903,0.000345999,0.002237414,0.000371166,0.002282413,0.000575915,0.000316583
53,1.346987,0.02501154,1.334e-06,0.009116818,0.001374831,0.008250487,0.000336666,0.002235496,0.000383833,0.002327913,0.000660832,0.000323333
54,1.371999,0.02496888,1.334e-06,0.008761985,0.001323332,0.008690902,0.000343166,0.00234033,0.000370832,0.002243413,0.000582333,0.000311249
55,1.396967,0.02506463,1.166e-06,0.009255152,0.001261998,0.008441736,0.000338916,0.00223833,0.000385249,0.002236497,0.000591999,0.000313583
56,1.422032,0.02462779,1.25e-06,0.008772985,0.001262165,0.008194403,0.000349916,0.002377413,0.000483666,0.002281913,0.000575666,0.000328416
57,1.44666,0.02529596,1e-06,0.009466651,0.001252581,0.008283903,0.000386333,0.002371996,0.000391916,0.00224133,0.000575832,0.000324417
58,1.471956,0.02438879,1.5e-06,0.008674319,0.001233748,0.00834232,0.000347333,0.00227833,0.000379082,0.002237663,0.000583166,0.000311333
59,1.496345,0.02489854,1.083e-06,0.008885319,0.001380498,0.008488486,0.000356083,0.002262913,0.000395332,0.002244913,0.000574249,0.000309667
60,1.521243,0.02496754,1.083e-06,0.009279735,0.001357998,0.00804557,0.000362083,0.002266246,0.000400166,0.002350913,0.000576749,0.000327
61,1.546211,0.02457379,1e-06,0.008643153,0.001316331,0.008335403,0.000352333,0.002323746,0.000377999,0.002325413,0.000585666,0.00031275
62,1.570785,0.02666579,1.083e-06,0.0100454,0.001734247,0.008733486,0.000347416,0.002241079,0.000397416,0.002232997,0.000575582,0.000357083
63,1.59745,0.02921754,1.084e-06,0.009269401,0.001869414,0.008285153,0.000470249,0.004513243,0.000603332,0.003263745,0.000578582,0.000363333
64,1.626668,0.02493629,9.17e-07,0.006616655,0.001225332,0.0108234,0.000351583,0.002382912,0.000393083,0.002239163,0.000584249,0.000319
65,1.651604,0.02487171,1.083e-06,0.006337907,0.001249164,0.01098457,0.000517832,0.00224208,0.000388416,0.00225183,0.000585915,0.000312917
66,1.676476,0.02499129,1.083e-06,0.006652489,0.001218998,0.01067565,0.000348499,0.00242308,0.000382832,0.002384913,0.000586749,0.000317
67,1.701467,0.02657604,1.25e-06,0.007966571,0.001419497,0.008175154,0.000345083,0.004932492,0.000402999,0.002402413,0.000579332,0.000351249
68,1.728043,0.02507063,1.583e-06,0.00654524,0.001237498,0.01094882,0.0003775,0.002272413,0.000382916,0.002397746,0.000576582,0.000330333
69,1.753114,0.02549462,1.833e-06,0.006628322,0.001687664,0.008059987,0.000344666,0.004878992,0.000421083,0.002394996,0.000629332,0.00044775
70,1.778608,0.02877304,1.334e-06,0.009609151,0.001242498,0.00822382,0.000357499,0.002649829,0.000394416,0.005465075,0.000586999,0.000242416
71,1.807381,0.02511246,1e-06,0.006472239,0.001775331,0.01047765,0.000430165,0.002235997,0.000382749,0.00243258,0.000577582,0.000327166
72,1.832494,0.02547179,1.084e-06,0.009418401,0.001260498,0.008687319,0.00034775,0.002244996,0.000381749,0.002234997,0.000581999,0.000312999
73,1.857966,0.02442638,1.167e-06,0.008694903,0.001228414,0.008223904,0.000344416,0.002419246,0.000382082,0.002236247,0.000584332,0.000311666
74,1.882392,0.02490513,1.25e-06,0.009031152,0.001394165,0.008351153,0.000355249,0.002241996,0.0003815,0.002244163,0.000576082,0.000328416
75,1.907297,0.02485738,1.167e-06,0.009146485,0.001234831,0.008357403,0.000353666,0.002236163,0.00038025,0.002243579,0.000574083,0.000329749
76,1.932155,0.02458596,9.16e-07,0.00863832,0.001316247,0.00835482,0.000347,0.002239163,0.000396332,0.002388663,0.000588166,0.000316333
77,1.956741,0.02533971,1.167e-06,0.009503068,0.001261498,0.008340986,0.00036325,0.002232413,0.000379749,0.002354413,0.000577082,0.000326083
78,1.98208,0.02543354,1.083e-06,0.009140486,0.001267414,0.008771653,0.000358832,0.002235497,0.000380249,0.002280663,0.000577499,0.000420166
79,2.007514,0.02507838,1e-06,0.009568651,0.001155832,0.008252237,0.000345916,0.002239663,0.000388332,0.002233247,0.000584999,0.000308499
80,2.032592,0.02496063,1e-06,0.009202985,0.001256498,0.008393236,0.000346833,0.002235747,0.000383082,0.002239663,0.000574999,0.000326583
81,2.057553,0.02449546,1.334e-06,0.008655985,0.001406998,0.008057487,0.0003445,0.002392246,0.000384249,0.002343913,0.000588832,0.000319916
82,2.082048,0.02533429,1.083e-06,0.009484985,0.001271664,0.008253487,0.000427916,0.002365329,0.000383416,0.00224008,0.000591416,0.000314916
83,2.107383,0.02523154,1.167e-06,0.009370234,0.001314665,0.008313153,0.000354749,0.002236247,0.000379583,0.002358829,0.000577499,0.000325416
84,2.132614,0.02435404,8.33e-07,0.00859457,0.001296331,0.008355153,0.000348166,0.00223858,0.000379582,0.002243497,0.000575499,0.000321833
85,2.156968,0.02501379,9.17e-07,0.009141151,0.000973499,0.008765652,0.000357333,0.00226008,0.000383832,0.00224733,0.000573916,0.000310083
86,2.181982,0.02440213,1.083e-06,0.009007986,0.000804415,0.008218737,0.000340166,0.00223733,0.000391666,0.002324329,0.000749166,0.000327249
87,2.206384,0.02521229,9.16e-07,0.009450485,0.001269831,0.008346403,0.000342833,0.002245663,0.000389999,0.002261663,0.000589333,0.000315166
88,2.231596,0.02452363,9.17e-07,0.008798986,0.001219081,0.008358236,0.000351833,0.00223358,0.000384499,0.002242663,0.000576416,0.000357416
89,2.25612,0.02468596,1.417e-06,0.008695986,0.001216081,0.008667236,0.000349166,0.002234746,0.000382083,0.00224133,0.000573332,0.000324583
90,2.280806,0.02503329,1.084e-06,0.009123401,0.001421331,0.00834432,0.000345166,0.00224058,0.000389083,0.002266996,0.000588749,0.000312583
91,2.305839,0.02453588,1e-06,0.008695403,0.001404164,0.00817357,0.00035125,0.002266746,0.000380749,0.00235883,0.000576082,0.000328083
92,2.330375,0.02552029,1.334e-06,0.009333401,0.001258665,0.008645319,0.000350083,0.002237246,0.000391666,0.002395663,0.000590749,0.000316166
93,2.355895,0.02506654,1.166e-06,0.009314652,0.001265998,0.008220236,0.000354666,0.002236497,0.000381499,0.002280246,0.000680833,0.000330749
94,2.380962,0.02472604,1e-06,0.008969652,0.001252748,0.008259903,0.000344333,0.002241663,0.000382666,0.002373996,0.000585166,0.000314916
