OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
0,0,0.2544523,4.416e-06,0.1404439,8.33e-07,0.01008749,0.02508063,0.01213332,0.009630404,0.005128993,0.01156682,0.006196825,0.002894163,0.01486956,0.01641498
1,0.2544523,0.2435952,1.416e-06,0.1786065,1e-06,0.00992182,0.005423326,0.01108465,0.008394905,0.007780073,0.008632655,0.005814742,0.002082247,0.003410495,0.00244133
2,0.4980475,0.2470363,2.917e-06,0.142085,9.16e-07,0.007385823,0.007343824,0.0275063,0.02210014,0.005997658,0.0105374,0.01253648,0.00257258,0.003540745,0.005426576
3,0.7450838,0.2459332,1.917e-06,0.1610666,1.083e-06,0.006998241,0.005730242,0.02095355,0.01630631,0.006649491,0.01332157,0.00498616,0.00283433,0.003845328,0.003238412
4,0.9910171,0.2117301,2.5e-06,0.1509151,9.16e-07,0.007275824,0.01021265,0.01528298,0.007543907,0.003757661,0.00761924,0.003376245,0.00219558,0.002055664,0.001491831
5,1.202747,0.2140953,1.334e-06,0.1400288,7.5e-07,0.007275073,0.007188907,0.01565073,0.01435281,0.005541742,0.01071299,0.004965076,0.00279008,0.003290745,0.002296247
6,1.416842,0.2279371,1.167e-06,0.1421323,9.16e-07,0.007571823,0.01709548,0.02085456,0.01013082,0.00482541,0.01058123,0.004934827,0.00271883,0.004507493,0.002582247
7,1.64478,0.2685046,1.5e-06,0.1603974,8.33e-07,0.008004239,0.02672946,0.03267071,0.01252948,0.006550658,0.00975132,0.00436591,0.002406831,0.002938245,0.002157998
8,1.913284,0.2157687,1.25e-06,0.1428561,9.16e-07,0.007538823,0.01675348,0.01027115,0.01106774,0.004504493,0.009889737,0.004688077,0.00245258,0.003241662,0.002502663
9,2.129053,0.2624298,1.5e-06,0.1424415,8.34e-07,0.00739699,0.01660806,0.04468502,0.01382615,0.00475866,0.01450756,0.00512266,0.005360743,0.002970079,0.004750077
10,2.391483,0.2236016,1.167e-06,0.1519433,9.17e-07,0.007338323,0.01418365,0.02121097,0.008280239,0.003474745,0.007755656,0.003438079,0.001849914,0.002283997,0.001840664
11,2.615084,0.241764,1.166e-06,0.1422831,7.5e-07,0.007729656,0.01721314,0.03426229,0.01086799,0.004849077,0.01058298,0.004890577,0.002603496,0.003720995,0.002758746
12,2.856848,0.2279575,1.5e-06,0.1431684,9.17e-07,0.007421323,0.01725489,0.02093556,0.01022115,0.004917994,0.0104829,0.00505191,0.002603829,0.003334329,0.00256283
13,3.084806,0.2736136,1.667e-06,0.1435106,7.5e-07,0.00725649,0.01704039,0.04009103,0.02272797,0.008413488,0.01949472,0.005891325,0.003252913,0.003296578,0.002635664
14,3.358419,0.2260583,1.667e-06,0.1434166,7.5e-07,0.009551903,0.02520122,0.01015165,0.01045715,0.004442244,0.01008324,0.00455866,0.00241308,0.003159663,0.002620496
15,3.584478,0.2427359,1.583e-06,0.1419429,8.34e-07,0.00726049,0.01709231,0.03430545,0.01035524,0.00518616,0.01105007,0.005654242,0.002676997,0.003791911,0.003417745
16,3.827214,0.2425228,1.5e-06,0.1428631,8.33e-07,0.007698656,0.01660998,0.03436637,0.01039365,0.004819244,0.01095982,0.005797159,0.002562913,0.003847494,0.002601997
17,4.069736,0.2327373,1.25e-06,0.1440771,9.17e-07,0.007370407,0.005701159,0.01755823,0.01720039,0.006715158,0.01707514,0.005750159,0.003212246,0.004381494,0.003693661
18,4.302474,0.2347507,1.667e-06,0.1452415,9.17e-07,0.007506073,0.01046049,0.02101422,0.01670598,0.005947242,0.0127569,0.005634909,0.003234829,0.003494912,0.00275108
19,4.537224,0.2684005,1.667e-06,0.1449215,1e-06,0.00720624,0.00737149,0.0345952,0.0261418,0.008055905,0.01872914,0.008119739,0.004142494,0.005277577,0.003836828
