OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
32,11.37211,0.3528483,1.417e-06,0.184007,1e-06,0.02149097,0.04868067,0.02840071,0.02218588,0.007340989,0.01667272,0.006991656,0.004145744,0.005967741,0.006961822
33,11.72496,0.3826779,1.334e-06,0.1845615,1e-06,0.02580938,0.07293072,0.02840754,0.02196647,0.007322072,0.01654931,0.007004156,0.00431116,0.005679658,0.00813357
34,12.10764,0.3221521,1.5e-06,0.1791164,9.16e-07,0.02094413,0.02929896,0.0244168,0.01924939,0.008361153,0.01614298,0.006991739,0.00396816,0.005653242,0.008006737
35,12.42979,0.3837235,1.5e-06,0.1825476,1.084e-06,0.02892145,0.07286472,0.02846837,0.02211847,0.007312738,0.01642881,0.007003656,0.004335244,0.005927574,0.007792238
36,12.81351,0.3825018,1.333e-06,0.1823411,1e-06,0.02855946,0.0728893,0.02843729,0.0218623,0.007374738,0.01652272,0.007018989,0.004168327,0.005619408,0.007705821
37,13.19601,0.3844472,1.333e-06,0.1833002,1e-06,0.02885854,0.07294114,0.02845421,0.02188347,0.007337655,0.01653772,0.007017573,0.00429741,0.005699324,0.008117571
38,13.58046,0.3237149,1.334e-06,0.1806548,9.17e-07,0.02175438,0.02926879,0.02429771,0.01927122,0.008313153,0.01632197,0.006929906,0.003998661,0.005908657,0.006993406
39,13.90418,0.3149128,1.167e-06,0.1828793,9.17e-07,0.02118772,0.02118647,0.0212908,0.01757839,0.007581821,0.01771622,0.007270239,0.00448041,0.005737408,0.008001987
40,14.21909,0.349883,1.417e-06,0.1805282,1.25e-06,0.0214478,0.04869934,0.02840829,0.02191205,0.007342072,0.01652489,0.007040073,0.00416741,0.005635492,0.008174654
41,14.56897,0.3265052,1.333e-06,0.1840578,1.334e-06,0.02118413,0.02936412,0.02435371,0.01927747,0.008353404,0.01611747,0.00679549,0.00412066,0.005862241,0.007016073
42,14.89548,0.3237653,1.334e-06,0.1815149,1.334e-06,0.0212113,0.02937071,0.02428163,0.01927955,0.008327987,0.01621673,0.006817573,0.003959078,0.005793491,0.006989656
43,15.21924,0.3650693,1.333e-06,0.1830777,1e-06,0.02808146,0.04874451,0.02840512,0.02312888,0.008137821,0.01969964,0.007948488,0.005099659,0.005756407,0.00698724
44,15.58431,0.3911996,1.583e-06,0.1829905,1.083e-06,0.02857379,0.0729293,0.02850304,0.02319696,0.008085488,0.01980305,0.00802407,0.005008076,0.006200824,0.007881904
45,15.97551,0.3573947,1.5e-06,0.1820934,9.17e-07,0.02134105,0.04870159,0.02844621,0.02298947,0.008148237,0.01961405,0.007935238,0.005170576,0.005865741,0.007086739
46,16.33291,0.3561659,1.5e-06,0.1812286,1.083e-06,0.02141005,0.04869876,0.02837604,0.0228288,0.008108238,0.01971839,0.007979571,0.005029909,0.005822158,0.006962739
47,16.68907,0.3297551,1.5e-06,0.1867919,1.166e-06,0.02091988,0.02932354,0.0243278,0.01931947,0.008301654,0.01615181,0.006785156,0.00409616,0.005677075,0.008057988
48,17.01883,0.3629577,1.5e-06,0.188576,9.17e-07,0.02649196,0.04872092,0.02841904,0.02188688,0.007404655,0.01656489,0.007041405,0.004150161,0.005662908,0.008036404
