OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,convert_color,gaussian_blur,sobel,convert_scale,sobel2,conver_scale2,add_weighted,show_img
0,0,0.01596473,8.583e-06,0.003941994,0.003785162,0.002937496,0.001042832,0.000913832,0.000902498,0.000944082,0.000894166,0.000594082
1,0.01596473,0.01136932,9.17e-07,0.003652995,0.000787915,0.002785746,0.000845083,0.000816832,0.000681665,0.000838166,0.000860415,9.9584e-05
2,0.02733405,0.01571581,1.166e-06,0.003209829,0.000360666,0.00751849,0.000721415,0.000820249,0.000954666,0.001000082,0.001018165,0.000111083
3,0.04304986,0.02295797,1.333e-06,0.004103661,0.000822666,0.01182815,0.000735332,0.000834832,0.002808913,0.000813249,0.000868582,0.00014125
4,0.06600782,0.01842614,1.167e-06,0.004754993,0.000745249,0.005209826,0.001380748,0.001592748,0.001285165,0.001562581,0.001659831,0.000233833
5,0.08443396,0.0198918,1.583e-06,0.008928571,0.001580248,0.00476641,0.000769415,0.001057082,0.000730916,0.000862999,0.001048415,0.000146166
6,0.1043258,0.01273048,1.166e-06,0.004024161,0.000921166,0.003212328,0.000769416,0.000899999,0.000749082,0.000872166,0.001166831,0.000114167
7,0.1170563,0.01352923,1.333e-06,0.003250912,0.000797083,0.005513992,0.000735082,0.000812916,0.000640582,0.000799332,0.000854749,0.00012325
8,0.1305855,0.01101565,8.3583e-05,0.003745328,0.000457833,0.00268858,0.000687249,0.000851248,0.000681166,0.000805082,0.000877499,0.000138083
9,0.1416011,0.01070849,1.166e-06,0.003525662,0.000446083,0.002794913,0.000699499,0.000817915,0.000655333,0.000808498,0.000858082,0.000101334
10,0.1523096,0.0106364,1e-06,0.003226579,0.000399083,0.002738579,0.000962082,0.000921999,0.000657999,0.000782999,0.000856249,8.9833e-05
11,0.162946,0.01076198,1.333e-06,0.003732078,0.000455417,0.002672412,0.000701499,0.000819916,0.000645999,0.000784666,0.000855582,9.3083e-05
12,0.173708,0.0105824,1.167e-06,0.003542995,0.000366582,0.00269208,0.000667666,0.000829499,0.000677165,0.000825166,0.000864749,0.000115333
13,0.1842904,0.01020682,1.75e-06,0.003214245,0.000377167,0.002674579,0.000686083,0.000812332,0.000640082,0.000809582,0.000861249,0.00012975
14,0.1944972,0.01073949,1.167e-06,0.003757161,0.000444249,0.002665997,0.000690499,0.000811332,0.000628249,0.000795332,0.000853832,9.1667e-05
15,0.2052367,0.01066757,1.333e-06,0.003679412,0.000412333,0.002684246,0.000674416,0.000820415,0.000643916,0.000800749,0.000855998,9.475e-05
16,0.2159043,0.01032124,1e-06,0.003290079,0.000371916,0.002688329,0.000689999,0.000836083,0.000676415,0.000800666,0.000846249,0.0001205
17,0.2262255,0.01083615,9.16e-07,0.003754245,0.000459,0.002766746,0.000663499,0.000826082,0.000634582,0.000792416,0.000847332,9.1333e-05
18,0.2370617,0.01064999,1.084e-06,0.003645328,0.000426916,0.002685663,0.000693082,0.000814333,0.000633415,0.000795999,0.000860499,9.3666e-05
19,0.2477117,0.01018132,1.833e-06,0.003213579,0.000366249,0.002685413,0.000708249,0.000821749,0.000627832,0.000794916,0.000858582,0.000102917
20,0.257893,0.01085632,1.167e-06,0.003860577,0.000401917,0.002659912,0.000681249,0.000843333,0.000653749,0.000803165,0.000852916,9.8333e-05
21,0.2687493,0.01173873,1.167e-06,0.003647328,0.000437249,0.002677413,0.000700583,0.000814415,0.000632166,0.000802832,0.001912498,0.000113083
22,0.280488,0.0129124,1.5e-06,0.003252079,0.000820082,0.002893746,0.000665082,0.000929582,0.002575247,0.000805332,0.000865665,0.000104083
23,0.2934004,0.01342148,1.083e-06,0.003963911,0.000696749,0.003045412,0.000652166,0.000813999,0.000627749,0.000791666,0.002720079,0.000108667
24,0.3068219,0.01137032,1.25e-06,0.003743745,0.000941998,0.002870663,0.000652749,0.000812416,0.000623749,0.000782749,0.000852832,8.8166e-05
25,0.3181922,0.01413623,1.084e-06,0.003232745,0.000816332,0.006224658,0.000681499,0.000810249,0.000629416,0.000783332,0.000854166,0.000102749
26,0.3323284,0.01391248,1.167e-06,0.004037161,0.000817249,0.005200492,0.000681083,0.000811415,0.000614749,0.000799583,0.000851165,9.8417e-05
27,0.3462409,0.01353715,1e-06,0.003857828,0.000796998,0.00502516,0.000673749,0.000809499,0.000619082,0.000801333,0.000853415,9.9083e-05
28,0.3597781,0.01359856,1.166e-06,0.003759912,0.000778415,0.00289083,0.002854912,0.000820416,0.000643916,0.000787665,0.000964082,9.725e-05
29,0.3733766,0.01474215,1.083e-06,0.003979411,0.000723332,0.005657159,0.001198248,0.000811499,0.000615749,0.000805249,0.000853499,9.6917e-05
30,0.3881188,0.01368531,1.083e-06,0.003821245,0.000717082,0.005221409,0.000678583,0.000800498,0.000669083,0.000796665,0.000859666,0.00012
31,0.4018041,0.0132269,1e-06,0.003322079,0.000810415,0.003058496,0.000643666,0.000813082,0.002804663,0.000805415,0.000856582,0.0001115
32,0.415031,0.01165773,1e-06,0.004011661,0.000816082,0.003012496,0.000651582,0.000811583,0.000613999,0.000795749,0.000854748,8.8834e-05
33,0.4266887,0.01350573,1e-06,0.003820411,0.000619749,0.002928246,0.000644916,0.002966662,0.000660416,0.000849582,0.000910416,0.000104333
34,0.4401945,0.01357798,1e-06,0.003444995,0.000703082,0.003095829,0.000673583,0.003114995,0.000638583,0.000897749,0.000909748,9.8417e-05
35,0.4537724,0.01373423,1.167e-06,0.004127994,0.002828579,0.002896663,0.000648666,0.000818249,0.000596249,0.000799082,0.000924499,9.3083e-05
36,0.4675067,0.01344581,1.333e-06,0.003885578,0.000814666,0.003057412,0.00249983,0.000815499,0.000625082,0.000790749,0.000844666,0.000110999
37,0.4809525,0.0146174,1.166e-06,0.003239162,0.000805499,0.005168326,0.000941249,0.001166082,0.001430831,0.000801666,0.000957498,0.000105917
38,0.4955699,0.01410531,1e-06,0.004041494,0.00274133,0.003462162,0.000650749,0.000809249,0.000600082,0.000795249,0.000898832,0.000105167
