OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
0,0,2.889992,8.75e-06,0.3658682,8.33e-07,2.12985,0.01476757,0.03453021,0.02523089,0.03829829,0.06507526,0.03735196,0.02534355,0.06583917,0.06642309,0.02140447
1,2.889992,0.9240034,1.417e-06,0.3888794,9.17e-07,0.06356001,0.04867453,0.03945912,0.04015512,0.04814628,0.06776542,0.04445312,0.05266011,0.06661717,0.0591891,0.004441745
2,3.813995,0.8892651,1.334e-06,0.3655668,9.16e-07,0.02968638,0.07396667,0.04050287,0.02943697,0.03092821,0.06792692,0.05795918,0.05938702,0.07077433,0.05858252,0.004544912
3,4.70326,0.8643673,4.834e-06,0.3664722,1.25e-06,0.02891488,0.05601235,0.04165362,0.03325479,0.03937704,0.08226524,0.0412842,0.04756503,0.06207801,0.06089876,0.004585161
4,5.567628,0.7757502,1.167e-06,0.3689855,9.16e-07,0.02805547,0.0142779,0.03388813,0.02960997,0.04059187,0.06390259,0.03654571,0.03134638,0.06404968,0.06001277,0.004482161
5,6.343378,0.8840619,1.75e-06,0.3764057,9.17e-07,0.02873213,0.07410608,0.0472532,0.0317433,0.02707647,0.06497326,0.05513502,0.04675861,0.06469059,0.06260185,0.004582995
6,7.22744,0.7851022,1.084e-06,0.3732461,1e-06,0.02567289,0.01446165,0.03619237,0.03129013,0.02865697,0.06447959,0.03773046,0.04013745,0.06747492,0.06120235,0.004555245
7,8.012542,0.8583149,1.75e-06,0.3731181,9.17e-07,0.02877405,0.07415891,0.05208461,0.03550904,0.0291118,0.06417909,0.03618512,0.03176713,0.06776067,0.06120576,0.004457995
8,8.870857,0.7729144,1.666e-06,0.3755941,1e-06,0.0264463,0.01431115,0.03614487,0.03309729,0.02630422,0.06290451,0.03611329,0.02997622,0.06661617,0.0609431,0.004460495
9,9.643771,0.8072458,1.417e-06,0.3741543,8.34e-07,0.0286953,0.0142884,0.03262038,0.02967163,0.03472838,0.06419451,0.0558901,0.04207128,0.06391726,0.06228776,0.004724245
10,10.45102,0.8141633,1.334e-06,0.3733807,1e-06,0.02918488,0.01431307,0.03290229,0.03273063,0.03371413,0.06502234,0.05246377,0.04791811,0.06714367,0.06090726,0.004480078
11,11.26518,0.8157096,1.25e-06,0.3731458,1.25e-06,0.02910788,0.01425507,0.03247305,0.02972921,0.03516513,0.06414751,0.05301452,0.05014194,0.06722242,0.06282709,0.004477495
12,12.08089,0.8727831,1.583e-06,0.3739814,1e-06,0.02751205,0.04989961,0.0412052,0.04255387,0.02916405,0.06322984,0.05759393,0.05535919,0.06688601,0.06092076,0.004474578
13,12.95367,0.7778168,1.333e-06,0.3721229,7.5e-07,0.02634189,0.0142649,0.03619654,0.03411579,0.02963088,0.06360543,0.03594013,0.03258488,0.06683359,0.06174235,0.004435411
14,13.73149,0.8475859,1.917e-06,0.3772626,9.17e-07,0.0280743,0.04936561,0.04618153,0.02268047,0.02773772,0.06374651,0.05261694,0.04774761,0.06620851,0.06150093,0.004460328
15,14.57908,0.815978,2e-06,0.3824323,9.17e-07,0.02710455,0.01426248,0.03292138,0.02361597,0.03676704,0.06472843,0.05302877,0.04767895,0.06813525,0.06083601,0.004463912
16,15.39505,0.8386759,1.583e-06,0.3796308,8.33e-07,0.02721264,0.04975886,0.05232227,0.03400488,0.03015647,0.06403084,0.03593079,0.03259746,0.06748742,0.06108751,0.004453494
17,16.23373,0.7725342,1.5e-06,0.3796998,1e-06,0.0278483,0.01421082,0.03424546,0.02439497,0.03519563,0.06455909,0.03639729,0.02571997,0.06335009,0.0621896,0.004720661
