OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,convert_color,gaussian_blur,sobel,convert_scale,sobel2,conver_scale2,add_weighted,show_img
0,0,0.0371707,6.475e-05,0.01115382,0.003661245,0.008283655,0.002547329,0.00252058,0.00235558,0.002497913,0.002615163,0.001470665
1,0.0371707,0.0487256,1.167e-06,0.01155998,0.00254858,0.008428072,0.002688829,0.002263747,0.001904081,0.0116604,0.00704899,0.000621749
2,0.0858963,0.03115979,1.417e-06,0.01120798,0.001305332,0.007751322,0.001839748,0.00225383,0.001768664,0.00225358,0.00244408,0.000333833
3,0.1170561,0.03124171,1.5e-06,0.01142265,0.001239081,0.007739989,0.001898914,0.002245081,0.001790914,0.002235413,0.00241858,0.000249583
4,0.1482978,0.03065754,1.167e-06,0.01075899,0.001312081,0.007743656,0.001880664,0.002246414,0.001801247,0.00224633,0.002424997,0.000242
5,0.1789553,0.04460894,1e-06,0.02020356,0.001834581,0.009779736,0.00242058,0.002859579,0.002277331,0.002641496,0.00237058,0.0002205
6,0.2235643,0.03062554,1.083e-06,0.01088174,0.001200498,0.007778656,0.001865914,0.002239163,0.001771248,0.002246913,0.002421497,0.000218833
7,0.2541898,0.03628128,1.25e-06,0.01486256,0.002347414,0.008120238,0.001926414,0.002325747,0.001790497,0.002233581,0.002453496,0.000220083
8,0.2904711,0.04431927,1.25e-06,0.01755047,0.003125329,0.009034487,0.001882748,0.002288246,0.001793998,0.002234497,0.006170741,0.0002375
9,0.3347904,0.07646956,3.084e-06,0.04395611,0.006279574,0.01159707,0.00275183,0.003182328,0.002784247,0.003074662,0.002450996,0.000389667
10,0.4112599,0.05314984,2.167e-06,0.02556413,0.006001242,0.01079615,0.001858998,0.00223583,0.001778914,0.002268914,0.002425996,0.0002175
11,0.4644098,0.03418179,1.5e-06,0.0129179,0.002254914,0.008222905,0.001854414,0.002233913,0.001779664,0.002236331,0.002461996,0.00021825
12,0.4985916,0.03851845,1.334e-06,0.01600198,0.002607497,0.00896332,0.001861831,0.002233497,0.001849414,0.002254997,0.00252333,0.000221249
13,0.53711,0.03948361,1.25e-06,0.01625523,0.003079996,0.00922157,0.001863498,0.00237508,0.001803414,0.002233747,0.002419496,0.000230333
14,0.5765936,0.04408544,1.167e-06,0.02038631,0.002714746,0.009392237,0.00203508,0.002472663,0.001975498,0.002500079,0.002391914,0.000215749
15,0.620679,0.0341102,1.417e-06,0.01296548,0.002032664,0.007934572,0.001942831,0.002239913,0.002112414,0.002235247,0.002424997,0.000220666
16,0.6547892,0.03563762,1.25e-06,0.01354365,0.002408497,0.008708571,0.001901997,0.00234258,0.001849581,0.00223408,0.002418914,0.000228499
17,0.6904269,0.03950169,1.333e-06,0.01668723,0.002705413,0.009240737,0.001856081,0.002239497,0.001773664,0.00226758,0.00251008,0.000220083
18,0.7299286,0.04162969,0.000425833,0.01818697,0.003531495,0.008235822,0.001869331,0.00222958,0.00226158,0.002243747,0.002423413,0.000221916
