OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
30,18.47732,0.5718579,1.417e-06,0.1863911,1.084e-06,0.02503213,0.07294214,0.0308532,0.02376746,0.02603013,0.06300332,0.02852687,0.02589021,0.06343948,0.01528289,0.0106964
31,19.04918,0.5206579,1.25e-06,0.1866602,1.333e-06,0.02765512,0.01394298,0.03056012,0.02238255,0.02664204,0.06316848,0.03941177,0.02617304,0.06276357,0.01403631,0.007259072
32,19.56984,0.5206598,1.917e-06,0.1837724,1e-06,0.02704004,0.01397731,0.03123562,0.01825072,0.02571096,0.06344007,0.04726368,0.02602421,0.0627014,0.01399114,0.007249322
33,20.0905,0.5860065,1.25e-06,0.1869763,1.417e-06,0.0285687,0.0729933,0.0308477,0.02373313,0.02592646,0.0640209,0.0422111,0.02670129,0.06273424,0.01427764,0.007013072
34,20.6765,0.5136931,1.25e-06,0.1868206,1.167e-06,0.02091313,0.02931971,0.02679479,0.02138022,0.02656113,0.0632659,0.02475938,0.02610512,0.06593031,0.01482489,0.007015489
35,21.1902,0.5423403,1.583e-06,0.1876955,1.166e-06,0.02129122,0.04864101,0.03086079,0.0238763,0.02630563,0.06328132,0.02453713,0.02904554,0.06557398,0.01429489,0.00693424
36,21.73254,0.5703527,1.583e-06,0.186509,1.083e-06,0.02863646,0.07295388,0.03093195,0.02368205,0.02564088,0.06348732,0.02848437,0.02571271,0.06292715,0.01410731,0.007276988
37,22.30289,0.5493149,1.667e-06,0.1872067,1.083e-06,0.0212623,0.04866901,0.03676269,0.02370263,0.02607337,0.06309215,0.02835096,0.02632638,0.06355148,0.01487764,0.009436819
38,22.8522,0.5141389,1.417e-06,0.1870789,1e-06,0.02103455,0.0293132,0.02796912,0.02204088,0.02646296,0.06326007,0.02434638,0.02542704,0.06611473,0.01407298,0.007015739
39,23.36634,0.5134786,1.417e-06,0.1867705,1.083e-06,0.02097155,0.02936004,0.02675262,0.02138147,0.02723446,0.06323665,0.02438121,0.02632554,0.06553998,0.01443831,0.007083739
40,23.87982,0.5279272,1.583e-06,0.1872107,9.17e-07,0.02100963,0.02930279,0.02669246,0.02134797,0.02642654,0.06327598,0.04184235,0.02583454,0.06381548,0.01405898,0.007107239
41,24.40775,0.575615,1.25e-06,0.186993,1.083e-06,0.02873087,0.07292514,0.03083812,0.02371738,0.02611279,0.06299749,0.02839037,0.02638463,0.0631039,0.01488589,0.01053315
42,24.98336,0.5138285,1.25e-06,0.1875945,1.167e-06,0.02115605,0.02932979,0.02668346,0.02128813,0.02663496,0.06315965,0.02476479,0.02633971,0.06555923,0.01420156,0.007114323
43,25.49719,0.5146961,1.25e-06,0.1889113,1.166e-06,0.02095147,0.02925595,0.02674237,0.02142197,0.02681038,0.06319823,0.02431155,0.02632254,0.06521415,0.01445081,0.007102989
44,26.01189,0.5401663,1.167e-06,0.1876534,1.083e-06,0.0212198,0.04861267,0.03086512,0.02396205,0.02650913,0.06343148,0.0243783,0.02618796,0.06525956,0.01500348,0.007081155
45,26.55205,0.5740143,1.417e-06,0.1866833,1.083e-06,0.02717462,0.07286622,0.03087962,0.02378771,0.02638404,0.06304673,0.02831979,0.02535221,0.06378873,0.01519398,0.01053482
46,27.12607,0.5758253,1.584e-06,0.1866875,1.083e-06,0.0285367,0.07288739,0.03114295,0.0236643,0.02605521,0.06304915,0.02833929,0.02669654,0.06310198,0.01524123,0.01042032
47,27.70189,0.5136684,1.334e-06,0.186887,1e-06,0.02121922,0.0292717,0.02678754,0.02135338,0.02608554,0.06317615,0.02475546,0.02631021,0.06486682,0.01493789,0.008015154
48,28.21556,0.5862863,1.25e-06,0.1877323,1.417e-06,0.02880362,0.07290105,0.03093795,0.02429955,0.02700162,0.06313232,0.04192318,0.02563988,0.06281323,0.01409623,0.007002739
49,28.80185,0.5239882,1.333e-06,0.1853683,1e-06,0.02656813,0.01393765,0.03097987,0.01827447,0.02621729,0.06357057,0.04746626,0.02703896,0.06321373,0.01409189,0.007258739
50,29.32584,0.5719318,1.417e-06,0.1846903,1.083e-06,0.02729346,0.07290389,0.0308257,0.02373655,0.02575921,0.06401665,0.02814329,0.02556446,0.06308282,0.01495798,0.01095498
51,29.89777,0.5141426,1.667e-06,0.187398,1.083e-06,0.02115688,0.02931554,0.02673896,0.02144588,0.02701062,0.06323832,0.02474221,0.02591946,0.06548006,0.01465356,0.007040405
52,30.41191,0.5698345,1.167e-06,0.1860041,8.33e-07,0.02713196,0.07296597,0.0308427,0.02379013,0.02562796,0.06411457,0.02852296,0.02642929,0.06315274,0.01427148,0.006978655
53,30.98175,0.5144013,1.5e-06,0.187139,1.167e-06,0.0212363,0.02931412,0.02679496,0.02134455,0.02687604,0.06350398,0.02449338,0.02628487,0.06539457,0.01488189,0.007134989
54,31.49615,0.5662694,1.333e-06,0.1838924,1e-06,0.02722154,0.07291989,0.03088354,0.02392096,0.02634746,0.06323598,0.02444355,0.02630846,0.06524165,0.01480864,0.007042989
55,32.06242,0.5739768,1.25e-06,0.185238,1.333e-06,0.02832546,0.07283689,0.03087537,0.02367721,0.02647271,0.0629044,0.02846396,0.02642721,0.06323215,0.01509064,0.01043023
56,32.63639,0.5164249,1.416e-06,0.1856858,1.166e-06,0.02106522,0.02932479,0.02674029,0.02140322,0.02675754,0.06322049,0.02843895,0.02563779,0.06539123,0.01507523,0.007681821
57,33.15282,0.5158164,1.083e-06,0.1890949,1.084e-06,0.0209983,0.02931087,0.02688954,0.0214278,0.02666012,0.06320557,0.02458754,0.02565496,0.0667789,0.01422481,0.006980989
58,33.66863,0.5715379,2.083e-06,0.1875654,1e-06,0.02555613,0.07291447,0.03094045,0.02374696,0.02597238,0.06305307,0.02894371,0.02711812,0.06320007,0.01404064,0.008483404
