OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
0,0,0.02337755,3.917e-06,0.003672577,7.5e-07,0.000812082,0.00239408,0.003898493,0.003359578,0.001959497,0.003334495,0.001863247,0.001076748,0.000539499,0.000462583
1,0.02337755,0.07320938,1.166e-06,0.01141465,1.333e-06,0.000445166,0.0235283,0.003801994,0.03131036,0.000589999,0.000790332,0.000548833,0.000272249,0.000266667,0.000238333
2,0.09658693,0.007394821,1e-06,0.001950663,7.5e-07,0.000465416,0.000653333,0.000868248,0.000796832,0.000555583,0.000785082,0.000565165,0.00030375,0.000271916,0.000177083
3,0.1039817,0.007525487,9.16e-07,0.001866497,6.67e-07,0.000430416,0.000647332,0.000877249,0.000819248,0.000668583,0.000878665,0.000615166,0.000277249,0.000278166,0.000165333
4,0.1115072,0.01284448,7.5e-07,0.00193433,9.17e-07,0.000789165,0.004737993,0.000923748,0.001720747,0.000797332,0.000775499,0.000530082,0.00027925,0.000221083,0.000133583
5,0.1243517,0.01437706,1.167e-06,0.002749912,1.083e-06,0.00048925,0.000673165,0.000911665,0.000815666,0.000565832,0.006455823,0.000770665,0.000543416,0.000253666,0.00014575
6,0.1387288,0.01327923,1.667e-06,0.00200708,5.83e-07,0.000512749,0.000870582,0.005343075,0.001130998,0.000745749,0.001092665,0.000838998,0.000368666,0.000217167,0.000149249
7,0.152008,0.01527423,1.083e-06,0.002667996,8.33e-07,0.000392333,0.000865832,0.001198165,0.001144914,0.000741083,0.001123748,0.004298909,0.002446913,0.000254083,0.000138333
8,0.1672822,0.009504151,1.084e-06,0.002265163,8.33e-07,0.000449166,0.000892998,0.001239582,0.001120581,0.000745166,0.001194081,0.000763832,0.000393999,0.000251833,0.000185833
9,0.1767864,0.008737986,1.25e-06,0.002015914,5.83e-07,0.000438166,0.000865165,0.001188998,0.001058082,0.000703415,0.001080915,0.000681916,0.000366832,0.00020425,0.0001325
10,0.1855244,0.01426114,1.166e-06,0.003129578,1.834e-06,0.000528499,0.005132242,0.001198331,0.001098415,0.000724415,0.001052249,0.000684582,0.000366583,0.000206749,0.0001365
11,0.1997855,0.0117169,1e-06,0.00235683,6.67e-07,0.000458332,0.000762416,0.001061831,0.000963665,0.003911077,0.000905415,0.000613999,0.000309667,0.000234999,0.000137
12,0.2115024,0.007757154,1.167e-06,0.001994497,1.083e-06,0.000391999,0.000750416,0.000989998,0.000912832,0.000595499,0.000877915,0.000595249,0.00031225,0.000215333,0.000118916
13,0.2192596,0.01328706,1.333e-06,0.003607828,8.33e-07,0.00039425,0.004033576,0.001061165,0.000887999,0.000589166,0.000871081,0.000962832,0.000506999,0.000233083,0.000136917
14,0.2325466,0.01442623,1.167e-06,0.004798492,7.5e-07,0.000584916,0.000763832,0.00408066,0.001068915,0.000686582,0.001050331,0.000685166,0.000366249,0.000206,0.000133167
15,0.2469728,0.01494956,1.417e-06,0.00191483,5.83e-07,0.000402333,0.002967828,0.005407325,0.001073832,0.000688582,0.001062831,0.000690333,0.000368332,0.000214,0.000157333
16,0.2619224,0.01436389,1.166e-06,0.002844412,1.084e-06,0.000423166,0.001007081,0.001199832,0.001069665,0.005319241,0.001093415,0.000692582,0.000368083,0.000209999,0.000134167
17,0.2762863,0.009293985,1.416e-06,0.002451913,5.83e-07,0.000389166,0.001014082,0.001203915,0.001070498,0.000691999,0.001059248,0.000691666,0.000373166,0.000228333,0.000118
18,0.2855803,0.008667569,1.666e-06,0.001970081,8.33e-07,0.000378583,0.000871581,0.001195832,0.001074415,0.000695749,0.001060415,0.000701082,0.000372166,0.000217333,0.000127833
19,0.2942479,0.01306581,1.167e-06,0.004914825,8.33e-07,0.000554416,0.002099747,0.001202748,0.001101248,0.000701832,0.001066082,0.000697165,0.000372333,0.000222833,0.000130583
20,0.3073137,0.01572056,1.25e-06,0.002464162,7.5e-07,0.000380666,0.000870832,0.001198165,0.002988912,0.005287325,0.001107581,0.000704082,0.000369,0.000212583,0.000135249
21,0.3230342,0.01378923,1.416e-06,0.001890664,5e-07,0.000349499,0.000864166,0.001182081,0.001228165,0.000693665,0.002937246,0.003913577,0.000368832,0.000225,0.000134416
22,0.3368235,0.009621651,1.084e-06,0.002835662,8.33e-07,0.000374833,0.000869498,0.001188165,0.001121665,0.000693832,0.001060082,0.000691415,0.000373,0.000218499,0.000193083
23,0.3464451,0.01113748,1.583e-06,0.003482661,1.167e-06,0.001211664,0.000796416,0.001198248,0.001214581,0.000708416,0.001063831,0.000702999,0.000380999,0.000214417,0.000160499
24,0.3575826,0.01310498,1.25e-06,0.001911247,6.67e-07,0.000403832,0.003283662,0.003720577,0.000959082,0.000601415,0.000884166,0.000600749,0.000377832,0.000222833,0.000137667
25,0.3706876,0.0112094,1.167e-06,0.002850162,1.083e-06,0.000427249,0.000740083,0.000981248,0.000887832,0.000615332,0.000887249,0.000599082,0.0003125,0.002763078,0.000143334
26,0.381897,0.007962654,1.333e-06,0.002279247,1e-06,0.000398916,0.000733665,0.000974748,0.000883416,0.000587915,0.000870332,0.000591249,0.000308083,0.000213583,0.000119167
27,0.3898596,0.01168423,1e-06,0.004698159,1.166e-06,0.000611249,0.001765164,0.000994832,0.000900665,0.000595916,0.000872248,0.000591166,0.000308416,0.00021125,0.000133
28,0.4015438,0.01601247,1.167e-06,0.003183578,9.17e-07,0.000398416,0.000742165,0.000984499,0.000892915,0.000716499,0.003594577,0.004804742,0.000332667,0.000219583,0.000140749
29,0.4175563,0.008601236,1.167e-06,0.002756412,1e-06,0.000422416,0.000748416,0.001009498,0.000902832,0.000606749,0.000886082,0.000606749,0.000314416,0.000222999,0.0001225
30,0.4261576,0.007749737,9.16e-07,0.00195058,7.5e-07,0.000420083,0.000744082,0.001001165,0.000901582,0.000599833,0.000882331,0.000594583,0.000313666,0.000215583,0.000124583
31,0.4339073,0.01462481,1.083e-06,0.002669996,9.17e-07,0.000352832,0.000749832,0.007207572,0.000913249,0.000595249,0.000875082,0.000599582,0.000307749,0.000218333,0.000133333
32,0.4485321,0.0133894,1.25e-06,0.002436746,7.5e-07,0.000383416,0.000732332,0.000972832,0.000878165,0.000585666,0.000867082,0.000585499,0.002750245,0.003048162,0.00014725
33,0.4619215,0.007596321,1.167e-06,0.001917997,1e-06,0.000390999,0.000733416,0.000973415,0.000887332,0.000593665,0.000873416,0.000588999,0.000308166,0.00020875,0.000117999
34,0.4695178,0.01277648,8.33e-07,0.005300075,1.25e-06,0.000486332,0.00241858,0.000975331,0.000885749,0.000592666,0.000874915,0.000586499,0.000308916,0.000213333,0.000132
35,0.4822943,0.01328723,1.084e-06,0.002506662,9.17e-07,0.000364499,0.000736916,0.000999998,0.000889249,0.000607665,0.003119495,0.003391662,0.000309666,0.000226416,0.000133
36,0.4955815,0.007874487,1.333e-06,0.001912747,5.83e-07,0.00039225,0.000747832,0.000996165,0.000902248,0.000603416,0.001069748,0.000603749,0.0003135,0.000211999,0.000118917
37,0.503456,0.01153857,1.25e-06,0.004957659,1.083e-06,0.000660166,0.001357748,0.000975748,0.000883082,0.000590249,0.000872415,0.000592999,0.00030925,0.000204333,0.000132583
38,0.5149946,0.01282915,1.166e-06,0.00243458,6.66e-07,0.000407416,0.000732416,0.000971082,0.000879165,0.000586749,0.005464491,0.000684165,0.000311667,0.000221583,0.000133999
39,0.5278237,0.007653488,1.25e-06,0.001931414,7.5e-07,0.000422582,0.000730083,0.000971831,0.000882665,0.000604833,0.000868915,0.000602332,0.000311083,0.000207417,0.000118333
40,0.5354772,0.01308098,1.167e-06,0.004989658,1.167e-06,0.000467832,0.002338746,0.000975499,0.001384831,0.000793832,0.000886165,0.000588083,0.000309666,0.000211916,0.000132417
41,0.5485582,0.01271681,1.083e-06,0.002452913,8.33e-07,0.00034525,0.000742665,0.000981915,0.000893415,0.000601416,0.002832579,0.003198578,0.000311083,0.000218749,0.000136334
42,0.561275,0.007679988,1.167e-06,0.001920247,5.83e-07,0.00040625,0.000742582,0.000983581,0.000893082,0.000598833,0.000885415,0.000597999,0.000313249,0.000221,0.000116
43,0.568955,0.01236731,9.16e-07,0.005006492,1.417e-06,0.000533416,0.002250913,0.000977665,0.000886498,0.000593916,0.000881915,0.000593333,0.000309333,0.000200666,0.000130833
44,0.5813223,0.01250123,1.084e-06,0.002443746,6.66e-07,0.00039925,0.000741498,0.001008999,0.000885915,0.000592916,0.002859912,0.002907162,0.000310082,0.000217083,0.000132917
45,0.5938235,0.007600321,1.417e-06,0.001923663,5.84e-07,0.000394499,0.000733499,0.000988915,0.000889082,0.000586999,0.000870165,0.000586832,0.000305917,0.000202249,0.0001165
46,0.6014239,0.01237123,1.083e-06,0.004981992,1.833e-06,0.000602499,0.00214283,0.000978915,0.000884916,0.000600999,0.000936665,0.000596499,0.000309916,0.000203666,0.000129417
47,0.6137951,0.01321381,1.25e-06,0.002496913,6.66e-07,0.00039375,0.000735915,0.000982499,0.000903331,0.000600333,0.005793157,0.000637749,0.000308083,0.000228083,0.000132083
48,0.6270089,0.007785821,1e-06,0.001983913,6.67e-07,0.000434249,0.000753749,0.000986915,0.000902665,0.000598916,0.000880999,0.000599915,0.000314833,0.000212167,0.000115833
49,0.6347947,0.01168223,1.083e-06,0.005060492,7.5e-07,0.000761332,0.001172498,0.001031165,0.000898415,0.000600916,0.000887332,0.000602166,0.000320749,0.00021375,0.000131583
50,0.6464769,0.01647031,1.333e-06,0.002455163,8.33e-07,0.0003795,0.000763665,0.000984332,0.000892332,0.000603415,0.009070069,0.000660915,0.000310167,0.000214833,0.000133749
