OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
0,0,2.150765,7.834e-06,0.01099382,7.5e-07,2.082031,0.004913243,0.01126548,0.008326072,0.003865494,0.005921742,0.007448823,0.003294495,0.005814159,0.00502191,0.00185958
1,2.150765,0.0972112,1.333e-06,0.03082404,1.084e-06,0.001626414,0.01323065,0.03152771,0.003762661,0.001640748,0.002639913,0.004125577,0.00232583,0.002754663,0.002452664,0.000297916
2,2.247976,0.03733512,9.17e-07,0.01183482,1.916e-06,0.001828831,0.00213533,0.003163246,0.002901413,0.001642331,0.002422496,0.004424327,0.001778748,0.002403746,0.002587747,0.00020925
3,2.285311,0.03693595,1.333e-06,0.01106598,7.5e-07,0.001029582,0.001290415,0.003509495,0.003722662,0.003505828,0.00250108,0.003512995,0.001742914,0.00239483,0.002415163,0.000242917
4,2.322247,0.04414752,1.834e-06,0.0120609,6.67e-07,0.001103832,0.001568248,0.003986327,0.003520079,0.001812247,0.002427913,0.01064599,0.001920164,0.00244333,0.002417414,0.000238583
5,2.366395,0.04276144,1.75e-06,0.01090373,9.16e-07,0.001054499,0.002095664,0.005093159,0.004330077,0.001858915,0.002365413,0.004281411,0.002522579,0.004439161,0.003539161,0.000275
6,2.409156,0.0484966,1.25e-06,0.01604114,8.33e-07,0.001036332,0.003341328,0.006824241,0.005506909,0.001677331,0.00236258,0.005126493,0.001418081,0.002414163,0.002517497,0.000228416
7,2.457653,0.04160444,1.083e-06,0.01413681,6.67e-07,0.001125165,0.002159497,0.004619326,0.003767162,0.001450164,0.002374664,0.004188911,0.001397331,0.00247208,0.003673078,0.0002385
8,2.499257,0.05924092,1e-06,0.01397248,1.417e-06,0.001314498,0.003157079,0.01636073,0.009415737,0.001767831,0.002353496,0.004077495,0.001489497,0.00261508,0.00242533,0.00028925
9,2.558498,0.04989985,1e-06,0.01347665,7.5e-07,0.001191582,0.00210408,0.00500466,0.005894075,0.007039073,0.002351997,0.00439991,0.001632332,0.002357496,0.004219578,0.000226666
10,2.608398,0.06037583,1.167e-06,0.01094482,6.67e-07,0.001246498,0.003349495,0.006897741,0.01379356,0.001740164,0.004273161,0.0114384,0.001208082,0.002677163,0.002562579,0.000242333
11,2.668774,0.03387137,9.17e-07,0.01294981,7.5e-07,0.001048415,0.001173082,0.002797246,0.002507746,0.001360332,0.002360246,0.003364246,0.001204581,0.002453497,0.002423746,0.00022675
12,2.702645,0.03716878,1.084e-06,0.01392523,7.5e-07,0.001047832,0.001601831,0.003599412,0.003079079,0.001357665,0.002377663,0.003735661,0.001328665,0.002341163,0.002546164,0.000226583
13,2.739814,0.04131928,1.084e-06,0.01437923,8.34e-07,0.001303165,0.00186233,0.00481891,0.004056161,0.001626915,0.002385246,0.004189994,0.001583165,0.002473246,0.002411497,0.0002275
14,2.781133,0.04610485,1.167e-06,0.01077523,1.25e-06,0.001166248,0.004203494,0.007246407,0.005892825,0.001916414,0.00236458,0.005867158,0.001663414,0.00236558,0.002413914,0.000227166
15,2.827238,0.03929961,1.25e-06,0.01288356,7.5e-07,0.001044582,0.002113747,0.004511743,0.003890495,0.001451831,0.002355997,0.00465291,0.001378831,0.002360497,0.002425997,0.000227416
16,2.866537,0.04030028,1.5e-06,0.0135449,8.33e-07,0.001037832,0.002085247,0.00466041,0.003791328,0.001434998,0.002376497,0.004852909,0.001403415,0.002343247,0.002539996,0.000227167
17,2.906838,0.04110528,1.167e-06,0.01360973,6.67e-07,0.001056665,0.002121247,0.004653077,0.004088327,0.001452165,0.002352913,0.00478491,0.001447915,0.002659246,0.002644413,0.000232833
18,2.947943,0.04160619,1.166e-06,0.01416415,6.67e-07,0.001107415,0.002086414,0.004663243,0.003745912,0.001435331,0.00237333,0.004190077,0.001508332,0.002548496,0.003513995,0.000267666
19,2.989549,0.03950453,1.417e-06,0.01276515,7.5e-07,0.001165165,0.002318663,0.00453241,0.003889412,0.001446081,0.002355997,0.00428241,0.001446248,0.002499913,0.002568247,0.000232666
20,3.029054,0.05288734,1.584e-06,0.01433473,5.84e-07,0.001170665,0.003882411,0.007088907,0.005390492,0.001889248,0.002937745,0.006389575,0.00202983,0.003721662,0.003756911,0.000293
21,3.081941,0.04118128,1.25e-06,0.01512681,7.5e-07,0.001314748,0.001929914,0.004543244,0.003734078,0.001437331,0.002370163,0.004214495,0.001395331,0.002373163,0.002478913,0.000261083
22,3.123122,0.05513409,1.083e-06,0.01379198,9.17e-07,0.001182581,0.004820993,0.006638658,0.005626992,0.001688248,0.003195912,0.006245324,0.002354997,0.004065661,0.005274243,0.000246499
23,3.178256,0.04172027,1.25e-06,0.01542548,6.67e-07,0.001105415,0.002097247,0.004534077,0.003945494,0.001452498,0.002369663,0.004386661,0.001397581,0.00236208,0.002415914,0.000226249
24,3.219977,0.04871118,1.084e-06,0.01295998,1.084e-06,0.001063332,0.003147912,0.006687741,0.005508408,0.001733165,0.002378496,0.005983909,0.00193708,0.003208079,0.003840995,0.000259916
25,3.268688,0.04248111,1.25e-06,0.01621756,8.33e-07,0.001127248,0.001868831,0.00457441,0.003964161,0.001461748,0.002345664,0.004504827,0.001417748,0.002341246,0.002427747,0.000227833
26,3.311169,0.05284259,1e-06,0.01344523,7.5e-07,0.001153915,0.003521495,0.006702907,0.006129159,0.001792414,0.002771746,0.006694074,0.001909664,0.003622495,0.00480516,0.000292583
27,3.364012,0.04218827,1.167e-06,0.01602756,8.33e-07,0.001070415,0.001916831,0.004921493,0.003873411,0.001443165,0.002356413,0.004002244,0.001420665,0.002508163,0.002419664,0.000226249
28,3.4062,0.07998189,1.25e-06,0.0144499,9.16e-07,0.001306165,0.003157579,0.009091487,0.01280265,0.002746413,0.008620988,0.01127657,0.001968997,0.008923321,0.00517891,0.000456749
29,3.486182,0.05381843,1.25e-06,0.01716781,9.16e-07,0.001142832,0.001846997,0.004624411,0.005457659,0.007409406,0.00241083,0.003909828,0.001396914,0.005079077,0.003131745,0.00023875
30,3.54,0.05011968,1.167e-06,0.0142184,6.67e-07,0.001064748,0.001948414,0.004608661,0.01060332,0.001688414,0.002535663,0.004333661,0.001408581,0.00234483,0.005137493,0.000225667
31,3.59012,0.04736085,1.167e-06,0.01387698,1e-06,0.001214332,0.003090996,0.00670349,0.005426159,0.001680415,0.002563413,0.006240074,0.001446665,0.002521163,0.002368663,0.000226333
32,3.637481,0.04063803,1e-06,0.01443348,9.16e-07,0.001094916,0.00188333,0.004536577,0.004142494,0.001603915,0.002359496,0.004013162,0.001415748,0.002507746,0.002419663,0.000225583
33,3.678119,0.03986486,1e-06,0.01388231,8.33e-07,0.001088249,0.001875831,0.00459316,0.003909994,0.001602165,0.00235283,0.004048744,0.001374582,0.002363996,0.002512163,0.000259
34,3.717984,0.03954745,1.417e-06,0.01355198,7.5e-07,0.001093915,0.001876914,0.004519577,0.003769661,0.001610332,0.002355496,0.003972078,0.001378248,0.002500913,0.002686163,0.00023
35,3.757531,0.04066636,1.084e-06,0.01424881,7.5e-07,0.001103915,0.001878164,0.004661327,0.004112494,0.001488332,0.00236833,0.003967744,0.001470915,0.002565829,0.002570913,0.00022775
36,3.798197,0.04089353,1.167e-06,0.0135074,1.084e-06,0.001359998,0.001914914,0.004560743,0.004087328,0.001436248,0.002374497,0.003917661,0.001552498,0.002529663,0.002634829,0.001015499
37,3.839091,0.03922694,1.167e-06,0.01336023,1e-06,0.001053082,0.00193883,0.004582994,0.004050911,0.001452581,0.00235508,0.003960328,0.001463998,0.002350997,0.002416413,0.000239333
38,3.878318,0.04679577,1e-06,0.0138334,7.5e-07,0.001173498,0.001931331,0.00449741,0.005053493,0.004948243,0.002355497,0.004204494,0.001465331,0.00240858,0.00466241,0.000260333
39,3.925114,0.04870977,1.333e-06,0.01319923,8.33e-07,0.001061582,0.001949331,0.004520493,0.01176515,0.001476997,0.00245583,0.003971745,0.001404664,0.004250328,0.002411996,0.00024025
40,3.973823,0.04950593,1e-06,0.01434765,7.5e-07,0.001081249,0.001874831,0.006387824,0.003899494,0.001451082,0.002622413,0.008289405,0.001428998,0.002352996,0.005506326,0.000261916
41,4.023329,0.04816727,1.584e-06,0.01382306,1.166e-06,0.001102916,0.001917663,0.004550244,0.005022076,0.007060657,0.002357164,0.00405016,0.001415332,0.004212911,0.002412663,0.000239666
42,4.071497,0.05851,1.083e-06,0.01432623,1.334e-06,0.001249581,0.003424579,0.01569031,0.005865075,0.001691331,0.004149161,0.005628075,0.001466165,0.002371163,0.002418497,0.000227416
43,4.130007,0.03896811,1.25e-06,0.01203207,7.5e-07,0.001233165,0.000955748,0.002824746,0.00759199,0.001319581,0.002353747,0.004090161,0.001260082,0.002657579,0.002410413,0.000236833
44,4.168975,0.03722211,1e-06,0.01342515,7.5e-07,0.001160665,0.001389498,0.003813745,0.003221245,0.001627331,0.00246208,0.003294995,0.001798831,0.002388747,0.002412746,0.000225333
45,4.206197,0.04033394,2.083e-06,0.01308165,8.34e-07,0.001100581,0.001876498,0.00458391,0.004446494,0.001618414,0.002363747,0.004677577,0.001555247,0.002386664,0.002412496,0.00022775
46,4.246531,0.03813636,1.583e-06,0.0115024,7.5e-07,0.001079831,0.001906248,0.005177076,0.004136244,0.001437165,0.00241883,0.003938161,0.001386415,0.00236758,0.002517829,0.00026625
47,4.284667,0.04010678,1.167e-06,0.01427673,7.5e-07,0.001149082,0.00187158,0.004649827,0.003777578,0.001445332,0.002375746,0.003920411,0.001523498,0.00234858,0.00253983,0.000226666
48,4.324774,0.04075036,1.25e-06,0.01366748,8.33e-07,0.001174415,0.001917831,0.004567327,0.00470641,0.001505414,0.002368747,0.004269161,0.001465914,0.002450164,0.002414413,0.000240999
49,4.365524,0.04026678,1.333e-06,0.01350648,8.34e-07,0.001094915,0.001876747,0.00511416,0.003918328,0.001429831,0.00237558,0.003951244,0.001477832,0.002534996,0.002736996,0.0002475
50,4.405791,0.04082461,1.083e-06,0.01386006,8.34e-07,0.001043498,0.001938581,0.004936743,0.004134161,0.001405748,0.002468413,0.003961494,0.001507165,0.002623663,0.002695663,0.000247499
51,4.446616,0.03974944,1.083e-06,0.01334881,1.083e-06,0.001335332,0.001931164,0.004626743,0.003982245,0.001434664,0.00237733,0.003940078,0.001397915,0.002571163,0.002568746,0.000233083
52,4.486365,0.04062111,1.084e-06,0.01441165,7.5e-07,0.001097082,0.001867831,0.004850076,0.004070744,0.001420665,0.002455413,0.003927578,0.001416748,0.002340164,0.002533079,0.00022825
53,4.526986,0.04035769,1.167e-06,0.01387356,6.66e-07,0.001109082,0.001845248,0.004746076,0.003922161,0.001450165,0.002411663,0.004464994,0.001426831,0.00244333,0.002435664,0.000227083
54,4.567344,0.04058828,1.667e-06,0.01341606,7.5e-07,0.001091332,0.001908581,0.00491216,0.00429466,0.001422831,0.00245033,0.003958828,0.001432665,0.002618579,0.002841246,0.000238583
55,4.607932,0.04024928,1.416e-06,0.01399606,7.5e-07,0.001212915,0.00191633,0.004737244,0.003927994,0.001449165,0.00235258,0.003938828,0.001378915,0.002559913,0.002545329,0.000231833
56,4.648181,0.04058061,1.25e-06,0.01334315,5.84e-07,0.001196248,0.001916831,0.005053326,0.004150744,0.001413331,0.00245208,0.003919245,0.001445331,0.002610913,0.002839163,0.000238416
57,4.688762,0.04070953,1.167e-06,0.01454048,5.84e-07,0.001225915,0.00184658,0.004571577,0.003943078,0.001444915,0.002348413,0.003939745,0.001522331,0.00251883,0.002575329,0.000230583
58,4.729472,0.04167469,1.25e-06,0.01486156,7.5e-07,0.001169082,0.001917081,0.004630743,0.004364244,0.001515165,0.002363496,0.003980245,0.001474331,0.002525663,0.00263533,0.000235749
59,4.771146,0.04816985,1.084e-06,0.01301323,7.5e-07,0.001043332,0.003173246,0.006575574,0.005607909,0.001666581,0.002373996,0.005989075,0.001969747,0.003260746,0.003231495,0.000263083
60,4.819316,0.04102869,1.333e-06,0.01499806,1e-06,0.001198415,0.002118414,0.00452216,0.003906995,0.001448831,0.002354163,0.004069328,0.001395081,0.00237408,0.00241508,0.00022575
61,4.860345,0.03861561,9.16e-07,0.01274557,8.33e-07,0.001186832,0.001957164,0.004533827,0.003952828,0.001447414,0.002417663,0.003956495,0.001413248,0.00234708,0.00241633,0.000239416
62,4.89896,0.04021419,1.084e-06,0.01421723,6.66e-07,0.001181749,0.002036747,0.00456691,0.003947578,0.001453164,0.00244508,0.003958661,0.001395748,0.002368164,0.002414996,0.000226417
63,4.939175,0.03950711,1.417e-06,0.01288156,7.5e-07,0.001047832,0.001948497,0.005047327,0.003950327,0.001456498,0.00235708,0.004060411,0.001522748,0.00242558,0.00257708,0.00023
64,4.978682,0.03981078,1.167e-06,0.01342148,7.5e-07,0.001485915,0.00192208,0.004517494,0.003934411,0.001457248,0.002347747,0.004058411,0.001452581,0.00234283,0.002641996,0.000226667
65,5.018493,0.04104061,1.25e-06,0.0143259,1.083e-06,0.001233415,0.001878081,0.004600244,0.004238327,0.001626331,0.00248083,0.003967494,0.001636831,0.002340247,0.00247308,0.0002375
66,5.059533,0.04511127,1.333e-06,0.01080282,7.5e-07,0.001043748,0.003457495,0.007704406,0.005577409,0.001790164,0.002349913,0.005613909,0.001654081,0.002351414,0.002537329,0.0002265
67,5.104644,0.05532434,1.167e-06,0.01276148,1e-06,0.001073832,0.0107779,0.009250821,0.008773404,0.001363998,0.00235683,0.002709163,0.001239998,0.002364914,0.002422663,0.000227166
68,5.159969,0.03313262,1.416e-06,0.01277707,7.5e-07,0.001060748,0.001007166,0.002906579,0.00250058,0.001366914,0.002348497,0.00280983,0.001242581,0.00234108,0.00254083,0.000228583
69,5.193101,0.03624195,1.167e-06,0.01348748,8.33e-07,0.001198498,0.001409915,0.003592828,0.003063329,0.001379248,0.002353414,0.003408245,0.001342081,0.002345247,0.002431497,0.000228166
70,5.229343,0.03996878,1.417e-06,0.01369573,6.67e-07,0.001130915,0.001940831,0.004513327,0.003892994,0.001509082,0.002354496,0.004519744,0.001410498,0.002344497,0.002427496,0.000227083
71,5.269312,0.04071269,1.167e-06,0.01377423,7.5e-07,0.001240915,0.00213058,0.00459766,0.004143994,0.001735498,0.00237633,0.004150161,0.001567581,0.002333663,0.002420164,0.000239999
72,5.310025,0.04546885,1.083e-06,0.01120673,1.084e-06,0.001064915,0.003440578,0.006705324,0.005802325,0.001788248,0.002346997,0.006394241,0.001672914,0.002358663,0.002456497,0.00022925
73,5.355494,0.05285268,1.25e-06,0.01370865,8.34e-07,0.001111831,0.0106939,0.00970207,0.005081743,0.001287998,0.002347996,0.002677997,0.001243748,0.002344497,0.002421996,0.000228167
74,5.408346,0.03378737,1.084e-06,0.01332373,9.17e-07,0.001172748,0.000969415,0.00277808,0.002441746,0.001277665,0.002519497,0.002843412,0.001386665,0.00234083,0.00250258,0.000229
75,5.442134,0.03710878,1.083e-06,0.01424281,7.5e-07,0.001191748,0.001417998,0.003678911,0.00304783,0.001344831,0.002368747,0.003329495,0.001291915,0.002434913,0.002517747,0.000239999
76,5.479242,0.03942144,1.667e-06,0.01340406,7.5e-07,0.001096831,0.001874414,0.00467541,0.003953578,0.001450915,0.002351413,0.004093328,0.001407081,0.002345497,0.002537413,0.000229083
77,5.518664,0.04021669,1.083e-06,0.01434965,7.5e-07,0.001108915,0.001873581,0.004665577,0.003917411,0.001458581,0.002349997,0.003980994,0.001375415,0.002365997,0.002529163,0.000239583
78,5.558881,0.03976544,1.333e-06,0.01374415,9.16e-07,0.001146749,0.001922664,0.004647743,0.003917911,0.001518332,0.00236683,0.003991244,0.001399915,0.00244508,0.002436579,0.000226
79,5.598646,0.03971236,1.25e-06,0.01336773,9.17e-07,0.001338248,0.001898497,0.004595244,0.003932578,0.001438081,0.002370163,0.003992661,0.001393582,0.002574163,0.002566413,0.000242833
80,5.638358,0.04078186,1e-06,0.01488481,8.34e-07,0.001119331,0.001848748,0.004784743,0.003900578,0.001452165,0.002347913,0.003991994,0.001447248,0.002360747,0.002415747,0.000225999
81,5.67914,0.03887919,1e-06,0.01279531,7.5e-07,0.001062249,0.00214258,0.004529494,0.003976161,0.001454748,0.002354913,0.004154744,0.001407248,0.002350164,0.002421663,0.000228166
82,5.718019,0.03999519,1e-06,0.01420865,7.5e-07,0.001086749,0.001883331,0.004622576,0.003931245,0.001453748,0.002348663,0.003980245,0.001392831,0.002444413,0.002412914,0.000228083
83,5.758015,0.03992244,1.084e-06,0.01388281,1e-06,0.001203332,0.001927331,0.004545493,0.003982995,0.001437248,0.00237183,0.004008327,0.001416582,0.002373163,0.00254458,0.000226666
84,5.797937,0.03867203,1.584e-06,0.01292173,8.34e-07,0.001056582,0.001947997,0.004591993,0.003935578,0.001460498,0.002351414,0.003995911,0.001407331,0.00234483,0.002416663,0.000239083
85,5.836609,0.03971511,1.084e-06,0.01396548,1.083e-06,0.001198332,0.001926581,0.004533993,0.003884161,0.001431498,0.002437914,0.003930244,0.001386831,0.002374997,0.002412747,0.000230166
86,5.876324,0.03903378,1.167e-06,0.01287181,8.33e-07,0.001059749,0.001946997,0.004738743,0.003940745,0.001440581,0.002475413,0.003947495,0.001404831,0.002427497,0.002547746,0.000230166
87,5.915358,0.04040203,1.166e-06,0.0145414,8.33e-07,0.001089248,0.001930914,0.004607161,0.003940077,0.001442915,0.00236458,0.004044078,0.001432081,0.00236558,0.002413497,0.000228499
