OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
32,0.8444399,0.02517229,1.167e-06,0.006095407,1e-06,0.001569997,0.002079247,0.00819057,0.001906664,0.001026748,0.001807247,0.001007582,0.000661582,0.000496582,0.0003285
33,0.8696122,0.02260355,1e-06,0.009713984,7.5e-07,0.001168248,0.001137249,0.002269579,0.00229133,0.001184165,0.002169496,0.001170332,0.000661082,0.000494999,0.000341333
34,0.8922157,0.02431071,1e-06,0.0101879,1.333e-06,0.001847497,0.001378832,0.002425412,0.002265747,0.001171248,0.002165746,0.001164998,0.000859499,0.000516666,0.000324832
35,0.9165264,0.02089288,1.667e-06,0.009345402,8.33e-07,0.001223415,0.001134331,0.001954163,0.001919747,0.001100499,0.001829497,0.001031915,0.000561249,0.000468332,0.000321833
36,0.9374193,0.02231621,1e-06,0.0103629,9.16e-07,0.001228082,0.001128248,0.001980247,0.001902413,0.001133665,0.00189758,0.001187582,0.000666582,0.000487166,0.000339833
37,0.9597355,0.02315705,1.166e-06,0.009617985,9.16e-07,0.001197749,0.001350581,0.002411579,0.002388246,0.001316831,0.00219508,0.001183915,0.000668749,0.000500499,0.000323749
38,0.9828926,0.02673471,1.417e-06,0.01041598,9.16e-07,0.001189832,0.001365331,0.002404163,0.005238825,0.001207748,0.002226079,0.001172915,0.000669249,0.000518749,0.0003235
39,1.009627,0.02552971,1.333e-06,0.009255485,1.084e-06,0.001208914,0.001354665,0.002404329,0.005248908,0.001200248,0.002199747,0.001171831,0.000664416,0.000495332,0.000323416
40,1.035157,0.02319355,1.084e-06,0.009752234,9.17e-07,0.001205914,0.001381581,0.002486496,0.002278247,0.001194998,0.002200579,0.001189582,0.000668165,0.0005095,0.000324249
41,1.058351,0.02787837,1.334e-06,0.009196151,1.084e-06,0.001432081,0.004832075,0.002477996,0.00229008,0.001529497,0.002872079,0.001474998,0.000861748,0.000565666,0.000343583
42,1.086229,0.02960412,1.083e-06,0.009396735,1e-06,0.001579914,0.001898247,0.003283161,0.002938829,0.001473664,0.002855995,0.001462748,0.000851499,0.003537911,0.000323332
43,1.115833,0.02654754,1.167e-06,0.0103444,8.33e-07,0.001192581,0.001354248,0.00240658,0.002263079,0.001303998,0.002189163,0.00400566,0.000668249,0.000494916,0.000322666
44,1.142381,0.02325046,1.25e-06,0.009765067,1e-06,0.001234248,0.001393165,0.002407579,0.002285496,0.001198665,0.00228283,0.001175498,0.000665582,0.000499166,0.000340916
45,1.165631,0.02987612,1.25e-06,0.00615874,8.33e-07,0.004448576,0.006333407,0.002417246,0.002886079,0.001539247,0.002881912,0.001473081,0.000865999,0.000545749,0.000323999
46,1.195507,0.05626758,1.25e-06,0.009810234,1.25e-06,0.001808748,0.008608402,0.006128574,0.01006598,0.004393493,0.002882495,0.003772994,0.007854571,0.000618832,0.00032075
47,1.251775,0.04886575,1.416e-06,0.007499488,1.167e-06,0.001382914,0.00203933,0.003275911,0.01044207,0.004419159,0.002920579,0.006776405,0.009040069,0.000657666,0.000409582
48,1.30064,0.04494518,1.166e-06,0.007796738,7.5e-07,0.001166331,0.00188533,0.003301328,0.005139659,0.004405576,0.01072207,0.002867745,0.006532156,0.000785665,0.000340667
