OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,convert_color,gaussian_blur,sobel,convert_scale,sobel2,conver_scale2,add_weighted,show_img
0,0,0.9530306,7.25e-06,0.3703558,0.06769542,0.1920087,0.06068868,0.06125351,0.05813251,0.06091267,0.05882918,0.02314689
1,0.9530306,0.9349041,1.25e-06,0.3964676,0.06219417,0.2123977,0.04713586,0.05449018,0.04476836,0.05431043,0.05870685,0.004431744
2,1.887935,0.9072568,1e-06,0.3664117,0.05215135,0.190791,0.05439752,0.07378616,0.0527316,0.05412935,0.05831151,0.004545578
3,2.795191,0.9096164,1.25e-06,0.3759562,0.05228794,0.1882049,0.04716586,0.05435818,0.04473811,0.06778983,0.07155083,0.007563324
4,3.704808,0.8952061,1.333e-06,0.3870582,0.05487843,0.1888016,0.04700378,0.05449885,0.04544203,0.05430935,0.05878535,0.004427161
5,4.600014,0.8786499,1.25e-06,0.37436,0.05042144,0.1901755,0.04702453,0.05436585,0.04481395,0.05432593,0.05870118,0.004460245
6,5.478664,0.8797333,1.5e-06,0.3763133,0.05025802,0.1889454,0.04736778,0.05448102,0.04473886,0.05431602,0.05885118,0.004460244
7,6.358397,0.8779228,1.5e-06,0.3729878,0.04986177,0.1906741,0.04742127,0.05471318,0.04474603,0.05430068,0.05873918,0.004477328
8,7.23632,0.8821781,1.5e-06,0.3751461,0.05353585,0.1893681,0.04694828,0.05441593,0.04473903,0.0548621,0.0586371,0.004524078
9,8.118498,0.8800682,1.666e-06,0.3725677,0.05438485,0.1890498,0.04737177,0.05447202,0.04466245,0.05438352,0.05870051,0.004473911
10,8.998566,0.8766216,1.5e-06,0.3735577,0.04984836,0.1896307,0.04678161,0.05458243,0.04467211,0.05438702,0.05870051,0.004459661
11,9.875188,0.8849141,1.584e-06,0.37416,0.05774593,0.1894572,0.04691203,0.05441927,0.04474036,0.05431085,0.0587066,0.004460328
12,10.7601,0.8762781,1.5e-06,0.3741088,0.04893877,0.1889254,0.04731919,0.05438902,0.04472161,0.05464393,0.05875351,0.004476328
13,11.63638,0.8757189,1.416e-06,0.372872,0.05014344,0.1885174,0.04738611,0.05445552,0.04462428,0.05453252,0.05860251,0.004583744
14,12.5121,0.8781299,1.417e-06,0.3738079,0.0510191,0.189239,0.04735086,0.0544016,0.04462986,0.0544626,0.05873876,0.004478828
15,13.39023,0.881526,1.416e-06,0.3757832,0.05222235,0.1890604,0.04737319,0.05435185,0.04486586,0.05443352,0.05898643,0.004447744
16,14.27175,0.8801563,1.417e-06,0.372219,0.05511402,0.1889241,0.04733361,0.05447227,0.04457036,0.05436027,0.05869534,0.004465995
17,15.15191,0.8766423,1.25e-06,0.3723385,0.0512781,0.1892339,0.04730352,0.05446418,0.04443045,0.05441018,0.05869518,0.004486995
18,16.02855,0.8758397,1.333e-06,0.3741782,0.04853786,0.1891179,0.04733419,0.05474285,0.04444545,0.05438102,0.05863093,0.004469911
19,16.90439,0.8758514,1.5e-06,0.3717835,0.05110019,0.1886789,0.04738577,0.0549576,0.04438636,0.0544091,0.05860009,0.004548494
20,17.78024,0.8787228,1.5e-06,0.3743235,0.04992594,0.1908004,0.04728761,0.05441593,0.04448836,0.05437385,0.0586386,0.004467077
21,18.65897,0.8795461,1.417e-06,0.372223,0.05415177,0.1897707,0.04685694,0.05450218,0.04450736,0.05438118,0.05870518,0.004446328
22,19.53851,0.8813888,1.583e-06,0.372402,0.05547243,0.1897489,0.04729311,0.05446852,0.04439653,0.05441293,0.05860909,0.004583661
23,20.4199,0.8781778,1.334e-06,0.3725187,0.05107835,0.1906043,0.04737119,0.05463493,0.0443157,0.05448202,0.05860368,0.004567578
24,21.29808,0.8787072,1.5e-06,0.3751149,0.05072302,0.189247,0.04725586,0.05437485,0.04448594,0.05433243,0.05869701,0.004474661
25,22.17679,0.8837247,1.5e-06,0.373642,0.05501393,0.1919573,0.04678628,0.05442952,0.04440928,0.05430127,0.05873568,0.004447994
26,23.06051,0.8819613,1.416e-06,0.376007,0.05151385,0.1907698,0.04729586,0.0544316,0.04439236,0.0543241,0.05876901,0.004456328
27,23.94247,0.8806909,1.417e-06,0.3731138,0.05250002,0.1905279,0.04719852,0.05454202,0.04470111,0.05488602,0.05874243,0.004477661
28,24.82316,0.8825828,1.5e-06,0.3743935,0.05308443,0.1915204,0.04677453,0.05436527,0.04474886,0.05454285,0.05870868,0.004442745
29,25.70575,0.8809445,1.333e-06,0.373217,0.05293852,0.1906458,0.04755578,0.0543576,0.04467119,0.05432218,0.05876834,0.004466745
30,26.58669,0.8792818,1.25e-06,0.3716672,0.05318344,0.1903194,0.04715828,0.0545831,0.04479786,0.05441793,0.0585966,0.004556661
31,27.46597,0.8775796,1.167e-06,0.3717747,0.05345602,0.188518,0.04734527,0.05447277,0.04437936,0.05447943,0.05859751,0.004555328
32,28.34355,0.8798349,1.416e-06,0.371281,0.05503243,0.1890165,0.04763477,0.05442527,0.0447937,0.05449543,0.05859409,0.004560245
33,29.22339,0.8783438,1.583e-06,0.371728,0.05351743,0.1889789,0.04726436,0.05445793,0.04480969,0.05437952,0.05873834,0.004467994
34,30.10173,0.8806139,1.5e-06,0.3714223,0.05087002,0.1898189,0.04722486,0.05434393,0.04473678,0.0565041,0.06122151,0.004470078
35,30.98235,0.8793212,1.583e-06,0.371045,0.05485185,0.1891075,0.04762777,0.05435002,0.04465553,0.05442968,0.05879659,0.004455578
36,31.86167,0.8730784,1.5e-06,0.3703102,0.04967361,0.1892429,0.04734703,0.05435393,0.04434836,0.05447693,0.05874609,0.004577912
37,32.73475,0.8767715,1.25e-06,0.3695277,0.05263019,0.1899899,0.04781719,0.0543641,0.04459486,0.05441235,0.05885243,0.004581495
38,33.61152,0.8790948,1.5e-06,0.3707057,0.05353543,0.1905102,0.04739144,0.05443535,0.0449807,0.05440077,0.05859434,0.004539412
39,34.49061,0.875654,1.583e-06,0.3702873,0.05094569,0.190511,0.04720753,0.05444135,0.04461811,0.05448035,0.05860935,0.004551744
40,35.36627,0.8749143,1.667e-06,0.3702714,0.04989094,0.1905119,0.04762386,0.05436277,0.04474703,0.05434818,0.05870459,0.004451994
41,36.24118,0.878783,1.417e-06,0.3704587,0.05410618,0.1911959,0.04664336,0.05445827,0.04445453,0.05430785,0.05871718,0.004439578
42,37.11996,0.8771454,1.666e-06,0.3714345,0.05276202,0.1890531,0.04728594,0.05451502,0.04452286,0.05432243,0.05877501,0.004472911
43,37.99711,0.8764102,1.25e-06,0.373573,0.04986252,0.1891106,0.04719211,0.05446352,0.04449936,0.05447152,0.05866093,0.004575411
44,38.87352,0.8857592,1.5e-06,0.3769089,0.05471777,0.1899969,0.04716961,0.05441902,0.04483428,0.05446652,0.05878418,0.004460494
45,39.75928,0.8792318,1.333e-06,0.3736293,0.05318327,0.1884694,0.04725427,0.0546956,0.04448786,0.05431893,0.05871501,0.004476828
46,40.63851,0.8769875,1.5e-06,0.3744444,0.04978552,0.1892644,0.04674161,0.05446368,0.04476103,0.05432493,0.05872076,0.004479744
47,41.5155,0.890888,1.583e-06,0.3712575,0.05067685,0.1883479,0.04744544,0.05448627,0.04704786,0.05431943,0.07273666,0.004568578
48,42.40638,0.8833493,1.5e-06,0.3746397,0.05307568,0.1911693,0.04785094,0.05443952,0.04468719,0.05431343,0.0587066,0.004465494
