OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,convert_color,gaussian_blur,sobel,convert_scale,sobel2,conver_scale2,add_weighted,show_img
40,0.3495539,0.01182073,1.5e-06,0.005186908,0.001338582,0.003129078,0.0001125,0.000816165,0.000126666,0.000792999,0.0002035,0.000112833
41,0.3613747,0.01198748,1.083e-06,0.00248408,0.001422747,0.004972409,0.000181249,0.001644998,0.000146666,0.000794499,0.000207166,0.000132583
42,0.3733621,0.008405736,1.083e-06,0.001921831,0.001319497,0.002864079,0.0001085,0.000807499,0.000121166,0.000949748,0.00020525,0.000107083
43,0.3817679,0.009727484,1.167e-06,0.00192433,0.001376081,0.004234826,0.0001395,0.000804749,0.000138833,0.000782499,0.000214249,0.00011125
44,0.3914954,0.0111824,1.083e-06,0.00233083,0.00379341,0.002871745,0.00011775,0.000803416,0.000143416,0.000783832,0.000215,0.000121916
45,0.4026778,0.01046815,1.25e-06,0.00190308,0.001324415,0.002865162,0.00010775,0.002987245,0.000158666,0.000786332,0.00021375,0.0001205
46,0.4131459,0.01210156,7.5e-07,0.002775495,0.001314331,0.005000076,0.000268416,0.001482164,0.000136583,0.000794416,0.000206083,0.000123249
47,0.4252475,0.01125923,8.33e-07,0.002494413,0.001317331,0.002930162,0.00014925,0.003096245,0.000144499,0.000799332,0.0002075,0.000119667
48,0.4365067,0.01048665,1.25e-06,0.00198033,0.001316664,0.004990826,0.000127166,0.000815582,0.000133333,0.000793082,0.000206333,0.000122083
49,0.4469934,0.009546318,1e-06,0.002885496,0.001599747,0.002911912,0.000109833,0.000814249,0.000123083,0.000793915,0.00020275,0.000104333
50,0.4565397,0.008894902,1.5e-06,0.002490662,0.001313915,0.002929912,0.000112,0.000814832,0.000125666,0.000796332,0.000203417,0.000106666
51,0.4654346,0.008962236,1.75e-06,0.001921747,0.001921997,0.002954578,0.000113667,0.000814249,0.000125249,0.000792082,0.000206,0.000110917
52,0.4743968,0.01143298,7.5e-07,0.00255333,0.001310997,0.005313408,0.000128334,0.000815082,0.000131083,0.000793332,0.000242499,0.000144167
53,0.4858298,0.009280069,8.34e-07,0.002710162,0.001322331,0.002976912,0.000103916,0.000848666,0.000124,0.000880831,0.000205667,0.00010675
54,0.4951099,0.01074032,8.33e-07,0.002057997,0.001443081,0.002867745,0.00011275,0.000824499,0.000125166,0.002959579,0.000207249,0.000141417
55,0.5058502,0.01297781,9.17e-07,0.002762829,0.001318998,0.005122575,0.000172666,0.001189998,0.000176833,0.001236832,0.000866082,0.000130083
56,0.518828,0.0114209,1.25e-06,0.002522329,0.001326165,0.005384574,0.00012175,0.000812082,0.00013325,0.000783999,0.000216583,0.000118916
57,0.5302489,0.01058548,1.333e-06,0.00203733,0.001351664,0.004987992,0.00012425,0.000818165,0.000133667,0.000801749,0.000206249,0.000123083
58,0.5408344,0.009248985,1e-06,0.002784495,0.001448581,0.002867495,0.000108917,0.000814499,0.000123499,0.000794249,0.00020325,0.000103
59,0.5500834,0.01171865,1.083e-06,0.00247083,0.001336581,0.004730575,0.000184583,0.001186248,0.000184584,0.001141748,0.000302083,0.000180333
60,0.561802,0.01074565,1.417e-06,0.001942663,0.003746577,0.002871246,0.000117083,0.000813665,0.000129833,0.000797749,0.000205833,0.000119583
61,0.5725476,0.01136273,7.5e-07,0.002734996,0.001429998,0.004990742,0.000125916,0.000823082,0.00013375,0.000793498,0.000207083,0.000122917
62,0.5839104,0.008994569,8.34e-07,0.002475746,0.001329248,0.003037745,0.000108416,0.000813749,0.0001245,0.000795748,0.000202917,0.000105666
63,0.592905,0.01180281,1e-06,0.001900663,0.001314331,0.005426992,0.000172249,0.001183498,0.00017625,0.001161415,0.000302416,0.000164
64,0.6047078,0.01304031,1e-06,0.003006662,0.003155495,0.004686075,0.00012025,0.000820665,0.000131167,0.000792165,0.00020775,0.000119083
65,0.6177481,0.01109898,1.084e-06,0.004702659,0.001367998,0.002844662,0.000120499,0.000810999,0.000132583,0.000786916,0.000212166,0.000119416
66,0.6288471,0.01302989,1e-06,0.002308579,0.003002829,0.004182243,0.000163083,0.002008664,0.000137916,0.000901165,0.000203,0.000121416
67,0.641877,0.0115099,9.16e-07,0.002745662,0.003622578,0.002854912,0.0001195,0.000829165,0.00013225,0.000790415,0.000207166,0.000207333
68,0.6533869,0.01129481,1.167e-06,0.002466913,0.001330581,0.003103495,0.00011025,0.000815498,0.0001225,0.002997329,0.000209833,0.000137249
69,0.6646817,0.01047865,8.33e-07,0.001927497,0.001323248,0.005022409,0.000132916,0.000813415,0.000135917,0.000793415,0.000206166,0.000122834
70,0.6751603,0.009176818,7.5e-07,0.002780495,0.001329832,0.002854578,0.000162833,0.000818082,0.000123417,0.000798082,0.000203333,0.000105416
71,0.6843371,0.008817902,1.083e-06,0.002465413,0.001332664,0.002857329,0.000111166,0.000817749,0.00012725,0.000785582,0.000215333,0.000104333
72,0.693155,0.008911152,9.16e-07,0.00195108,0.001344248,0.003373828,0.0001245,0.000801415,0.00020125,0.000784582,0.000220333,0.000109
73,0.7020662,0.01155323,8.34e-07,0.002703662,0.001314581,0.005352908,0.00012425,0.000812249,0.000131166,0.000789915,0.000206417,0.00011725
74,0.7136194,0.0123039,1.167e-06,0.002494496,0.001317415,0.005240658,0.000194666,0.001238248,0.00018025,0.001137498,0.000307749,0.00019175
75,0.7259233,0.01141857,7.5e-07,0.004024077,0.001427747,0.003768078,0.000121083,0.000810082,0.000135416,0.000792249,0.000203249,0.000135834
76,0.7373419,0.01162931,1.25e-06,0.002827746,0.003678244,0.002866912,0.000119916,0.000812582,0.00013175,0.000869499,0.000206249,0.000115167
77,0.7489712,0.0112749,1e-06,0.002482163,0.001313497,0.003107412,0.000110833,0.002980495,0.000151833,0.000799332,0.000206,0.000122333
78,0.7602461,0.008561153,1e-06,0.002042913,0.001507081,0.002855162,0.000113167,0.000815999,0.000123833,0.000795082,0.000202083,0.000104833
79,0.7688072,0.009576318,7.5e-07,0.001942663,0.001565248,0.00391241,0.000113833,0.000811999,0.000124916,0.000794332,0.00020175,0.000108417
80,0.7783836,0.01105632,1.083e-06,0.002308413,0.001317415,0.005168241,0.00013,0.000813999,0.000131583,0.000836332,0.000208083,0.000141166
81,0.7894399,0.008328819,1.083e-06,0.00192958,0.001311915,0.002855412,0.000107416,0.000816082,0.000120583,0.000878332,0.000202833,0.000105583
82,0.7977687,0.009390818,1.167e-06,0.001947996,0.001567831,0.003715911,0.000113166,0.000814666,0.000125749,0.000793666,0.000205999,0.000104667
83,0.8071595,0.0111609,1.083e-06,0.002375746,0.001386498,0.005136991,0.00012675,0.000816499,0.000133166,0.000830832,0.000209833,0.0001435
84,0.8183204,0.008378069,1.25e-06,0.001915246,0.001429665,0.002877912,0.000115916,0.000803666,0.000123249,0.000793249,0.000205666,0.00011225
85,0.8266985,0.009587318,1.25e-06,0.00193983,0.001580831,0.003903827,0.000113,0.000804832,0.000136583,0.000785832,0.000211999,0.000109334
86,0.8362858,0.0110624,8.34e-07,0.002313413,0.001312914,0.005164658,0.000137417,0.000804249,0.000150749,0.000823249,0.000217916,0.000137
