OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,convert_color,gaussian_blur,sobel,convert_scale,sobel2,conver_scale2,add_weighted,show_img
0,0,0.6122299,7.75e-06,0.181071,0.01855372,0.2022398,0.02369046,0.06110199,0.02372288,0.0612529,0.01398189,0.02660737
1,0.6122299,0.5862702,1.667e-06,0.1819807,0.00810407,0.2457441,0.01067107,0.05467991,0.009687401,0.05411275,0.01430614,0.006982322
2,1.1985,0.5712235,1e-06,0.2051972,0.01014582,0.2068236,0.009524818,0.05444058,0.009493068,0.05457908,0.01397914,0.007039239
3,1.769724,0.5414522,1.167e-06,0.1807423,0.009288818,0.2024674,0.009512901,0.0544445,0.009562568,0.054403,0.01398123,0.007048322
4,2.311176,0.54576,1.5e-06,0.1854461,0.007663237,0.2030167,0.009866401,0.05443808,0.009891151,0.05439325,0.01398556,0.007058072
5,2.856936,0.5512793,1.334e-06,0.18447,0.007930904,0.2057798,0.01034015,0.0551735,0.01098115,0.05503983,0.01421339,0.007349155
6,3.408215,0.5451965,1.083e-06,0.1841747,0.007769904,0.2032667,0.009887151,0.05467216,0.009896651,0.05441666,0.01399506,0.007116405
7,3.953412,0.5507455,1.333e-06,0.1848506,0.01333381,0.2028084,0.009845901,0.05458283,0.009778067,0.054546,0.01388023,0.007118322
8,4.504157,0.5449359,1.5e-06,0.1847294,0.007713237,0.2028341,0.009778485,0.0545605,0.009785401,0.05455116,0.01399498,0.006987156
9,5.049093,0.5474599,1.5e-06,0.185005,0.009437319,0.2032733,0.009764735,0.05460291,0.009785651,0.05459366,0.01400223,0.006993572
10,5.596553,0.5469638,1.25e-06,0.1847657,0.009464318,0.2029646,0.009883068,0.05455975,0.009897234,0.05443675,0.01399706,0.006994073
11,6.143517,0.5486185,1.25e-06,0.1845164,0.01181356,0.2026962,0.009902401,0.05444916,0.009884234,0.05441433,0.01399173,0.006949239
12,6.692135,0.5491725,1.25e-06,0.184907,0.01181548,0.2028004,0.009956401,0.05443825,0.009789318,0.05451383,0.01399864,0.006951906
13,7.241308,0.5489715,1.333e-06,0.1855427,0.01157406,0.2021303,0.009925317,0.05448475,0.009914067,0.05442833,0.01399481,0.006975822
14,7.790279,0.5493981,1.25e-06,0.1852785,0.01159582,0.2028101,0.009879735,0.05447891,0.009900901,0.05445225,0.01399848,0.007002156
15,8.339677,0.5524331,1.5e-06,0.1879605,0.01170457,0.2022689,0.01034015,0.05453233,0.01019932,0.05443608,0.01399406,0.006995739
16,8.89211,0.5502025,1.583e-06,0.1871471,0.009448652,0.2030521,0.01037998,0.05444625,0.01016882,0.05456941,0.01399981,0.006988823
17,9.442313,0.5477343,1.166e-06,0.1874465,0.007743321,0.2021247,0.0103509,0.05447716,0.01017982,0.05442958,0.01398998,0.006991155
18,9.990047,0.5484723,1.333e-06,0.1871752,0.007487488,0.2032724,0.01026232,0.05459008,0.01010507,0.05455166,0.01400031,0.007026405
19,10.53852,0.5518561,1.5e-06,0.1913839,0.007743571,0.2023833,0.01034015,0.05442858,0.01017782,0.05440675,0.01400498,0.006985572
20,11.09038,0.5538345,1.333e-06,0.1873317,0.0127349,0.2033365,0.01033523,0.05447133,0.01021982,0.05444075,0.01399498,0.006967905
21,11.64421,0.552203,1.25e-06,0.1871609,0.01167581,0.2025453,0.01045165,0.05445991,0.01038582,0.054575,0.01399314,0.006954322
22,12.19641,0.552291,1.583e-06,0.1868152,0.01195448,0.2022961,0.01042248,0.05497958,0.01017182,0.05454291,0.01400139,0.007105489
23,12.7487,0.552092,1.25e-06,0.1872484,0.01191157,0.2024657,0.0102369,0.05458216,0.01009073,0.054553,0.01398289,0.007019406
24,13.3008,0.5515713,1.167e-06,0.186987,0.0119374,0.2022405,0.0103434,0.05447125,0.01017307,0.0544305,0.01400123,0.006985822
25,13.85237,0.5510215,1.416e-06,0.1869727,0.0115499,0.2021463,0.01036032,0.0544515,0.01016823,0.05440216,0.01399473,0.006974155
26,14.40339,0.551762,1.667e-06,0.1862925,0.01249515,0.20235,0.01035715,0.05463908,0.01019507,0.05449866,0.01399573,0.006937072
27,14.95515,0.5490294,1.084e-06,0.1869651,0.009276235,0.2022867,0.01024532,0.054659,0.01019282,0.05443075,0.01399264,0.006979739
28,15.50418,0.5533612,1.25e-06,0.1868793,0.01293573,0.2028691,0.01043207,0.05447383,0.01021123,0.05444141,0.01399873,0.007118572
