OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,convert_color,gaussian_blur,sobel,convert_scale,sobel2,conver_scale2,add_weighted,show_img
0,0,0.2162891,8.75e-06,0.07294322,0.008303904,0.06540281,0.007779738,0.02056388,0.007783987,0.01992022,0.004759492,0.008823069
1,0.2162891,0.2349876,1.416e-06,0.07446313,0.004938492,0.1045546,0.003751077,0.01785505,0.004021411,0.01768147,0.004591242,0.003129745
2,0.4512767,0.1915667,1.25e-06,0.07345505,0.003977243,0.06507056,0.003283578,0.01815014,0.003165328,0.01764347,0.004536243,0.002283829
3,0.6428434,0.2214801,1.083e-06,0.07822437,0.004843826,0.07732271,0.003280578,0.02274696,0.003528578,0.02427488,0.004551826,0.002705245
4,0.8643234,0.1951451,1.083e-06,0.07623554,0.004104743,0.06570814,0.003260411,0.01799464,0.003132578,0.01782655,0.00454791,0.002333496
5,1.059469,0.1942755,1.333e-06,0.07651504,0.003193161,0.06570239,0.003109828,0.01776972,0.003223328,0.01789905,0.004535076,0.00232658
6,1.253744,0.1956863,1.417e-06,0.07705737,0.004418909,0.06526973,0.003115828,0.01796547,0.003138162,0.0177583,0.004642826,0.002318329
7,1.44943,0.1914805,1.25e-06,0.07249813,0.002733162,0.06579514,0.003613494,0.0184318,0.003375911,0.01786689,0.004595909,0.002568829
8,1.640911,0.194985,1.25e-06,0.07637854,0.003870077,0.06578448,0.003125744,0.01800255,0.003112828,0.01782247,0.004550576,0.002336496
9,1.835896,0.195206,1.25e-06,0.07681338,0.003821744,0.06568948,0.003122912,0.0180073,0.003122912,0.01775205,0.004530743,0.002344246
10,2.031102,0.1954798,1.334e-06,0.07625613,0.004103243,0.06617556,0.003119411,0.01806172,0.003147661,0.01774597,0.004540409,0.00232833
11,2.226582,0.2262929,1.334e-06,0.09305502,0.003144245,0.07545554,0.003772827,0.02017605,0.003142829,0.02051322,0.004718076,0.002313746
12,2.452875,0.1945238,1.75e-06,0.07670646,0.003340328,0.06570564,0.003127411,0.01776397,0.003146328,0.01775439,0.004646742,0.002330746
13,2.647398,0.1948394,1.084e-06,0.07647288,0.003895743,0.06562506,0.003115078,0.01774755,0.003117579,0.01788147,0.004654492,0.002328496
14,2.842238,0.1951849,1.333e-06,0.07658788,0.003862327,0.06569664,0.003093745,0.0180018,0.003133412,0.01793355,0.00453891,0.002335329
15,3.037423,0.1926057,1.25e-06,0.07528313,0.002730246,0.06556831,0.003072412,0.01807964,0.003230828,0.01775614,0.004556159,0.00232758
16,3.230028,0.1943972,1.333e-06,0.07660546,0.002670996,0.06554856,0.003325911,0.0184653,0.003075911,0.01782839,0.004545743,0.002329579
17,3.424426,0.1943963,1.25e-06,0.07669763,0.002675995,0.06563506,0.003085495,0.01832714,0.003193911,0.01787964,0.004544159,0.002355996
18,3.618822,0.1976221,1.167e-06,0.07925904,0.002708162,0.06653064,0.003423078,0.0179138,0.003081745,0.01783697,0.004537326,0.002330163
19,3.816444,0.1937888,1.166e-06,0.07618854,0.002676246,0.06592489,0.003090745,0.01818364,0.003053245,0.01779106,0.004546492,0.002332747
20,4.010233,0.1943009,1.333e-06,0.07688671,0.002789579,0.06563031,0.003340244,0.01781164,0.003074912,0.01776522,0.004660409,0.002340579
21,4.204534,0.1945725,1.25e-06,0.07705288,0.002686162,0.06571931,0.003074995,0.0181973,0.003071495,0.01779447,0.004648742,0.002325913
22,4.399106,0.1940379,1.25e-06,0.07662196,0.002683662,0.06572031,0.003110662,0.01816972,0.003086411,0.01777456,0.004548242,0.002321163
23,4.593144,0.1942794,1.334e-06,0.07675746,0.002735328,0.06576448,0.003047079,0.01783514,0.003461995,0.01778905,0.004543659,0.00234383
24,4.787423,0.1945437,1.416e-06,0.07690463,0.002683995,0.06582406,0.003086079,0.01818355,0.003080412,0.01790514,0.004554159,0.002320246
25,4.981967,0.1936639,1.417e-06,0.07612779,0.002695245,0.06568489,0.003364078,0.01779464,0.003080745,0.01803097,0.00456366,0.002320496
26,5.175631,0.1939389,1.333e-06,0.07672421,0.002667829,0.06549223,0.003101329,0.01781422,0.003193828,0.0180368,0.004568576,0.00233858
27,5.36957,0.195229,1.333e-06,0.07711013,0.002692162,0.06631564,0.003376661,0.01794497,0.003073911,0.01782872,0.004557826,0.002327663
28,5.564799,0.1937629,1.167e-06,0.07638454,0.002659162,0.06573056,0.003083079,0.01809347,0.003172912,0.01777939,0.004539826,0.002318829
29,5.758562,0.1948449,1.334e-06,0.07673913,0.002906412,0.06608064,0.003123328,0.01808164,0.003137911,0.01779964,0.004660742,0.002314163
30,5.953407,0.1958777,1.333e-06,0.07697871,0.00388766,0.06603564,0.003392578,0.0177818,0.003185162,0.01774047,0.004554909,0.002319413
31,6.149285,0.1948629,1.333e-06,0.07647396,0.003219328,0.06598689,0.003106911,0.01787389,0.003084995,0.01814005,0.004691242,0.002284247
32,6.344147,0.1947639,1.25e-06,0.07682321,0.003245161,0.06588923,0.003077161,0.01775939,0.003161578,0.0179248,0.004532909,0.002349246
33,6.538911,0.1943599,1.25e-06,0.07702038,0.003089578,0.06557773,0.003111662,0.01776872,0.003186662,0.01774539,0.004543993,0.00231458
34,6.733271,0.1941795,1.166e-06,0.07653688,0.002700579,0.06592939,0.003108328,0.01814939,0.003107578,0.01777655,0.00453591,0.002333746
35,6.927451,0.1942714,1.25e-06,0.07681321,0.002658079,0.06578056,0.003078995,0.01803039,0.003217995,0.01782164,0.00453341,0.002335913
36,7.121722,0.1948946,1.166e-06,0.07761671,0.002699579,0.06549923,0.003365828,0.01791039,0.003106995,0.01779231,0.004575826,0.002326579
37,7.316617,0.1940389,1.083e-06,0.07671221,0.002674412,0.06590781,0.003083412,0.0178308,0.003043245,0.01793205,0.004540575,0.00231333
38,7.510656,0.194013,1.25e-06,0.07665313,0.002674162,0.06554864,0.003128995,0.01805822,0.003217244,0.01775905,0.004642909,0.002329413
39,7.704669,0.194872,1.5e-06,0.07729146,0.002659913,0.06578331,0.003081995,0.01833214,0.003054829,0.01780022,0.004543326,0.00232333
40,7.899541,0.1936939,1.333e-06,0.07636913,0.002719662,0.06558273,0.003122495,0.01778597,0.003457328,0.01779147,0.004535409,0.002328413
41,8.093235,0.1891991,1.5e-06,0.07259063,0.002685412,0.06524339,0.003105744,0.01795697,0.003065662,0.01768706,0.004535576,0.002327163
42,8.282434,0.1927189,1.334e-06,0.07504063,0.002688996,0.06599581,0.003089495,0.01806972,0.003175995,0.01779497,0.004534909,0.00232708
43,8.475153,0.1935519,1.167e-06,0.07523563,0.003197578,0.06611348,0.003073661,0.01802089,0.003199078,0.01782522,0.004540993,0.002344246
44,8.668705,0.1962658,1.166e-06,0.07704712,0.004484243,0.06566514,0.003341994,0.01781256,0.003232078,0.01778972,0.004567409,0.002324413
45,8.864971,0.1965712,1.167e-06,0.07740996,0.00388566,0.06597764,0.003098412,0.01803755,0.003194828,0.01804914,0.00453416,0.002382662
46,9.061542,0.1956449,1.25e-06,0.07671579,0.004231576,0.06560089,0.003057661,0.01806697,0.003192078,0.01791222,0.004536659,0.00232983
47,9.257187,0.1959118,1.25e-06,0.07698212,0.003970077,0.06595956,0.003114329,0.01803655,0.003093328,0.01777781,0.004657575,0.002319163
48,9.453098,0.1969043,1.5e-06,0.07714404,0.004109493,0.06657222,0.003056162,0.01807647,0.003200911,0.01789039,0.004538326,0.002314829
49,9.650003,0.1950955,1.417e-06,0.07672929,0.003299244,0.06600364,0.003094162,0.01782647,0.003101495,0.0180773,0.004655159,0.00230733
50,9.845098,0.195757,1.25e-06,0.07705046,0.003549995,0.06611456,0.003162995,0.01806564,0.003061912,0.0178808,0.00454816,0.002321246
51,10.04086,0.1953251,1.166e-06,0.07684229,0.003906327,0.06594923,0.003081411,0.01788497,0.003062662,0.01775255,0.004539243,0.002305246
52,10.23618,0.1955072,1.333e-06,0.07672663,0.003838661,0.06593106,0.003126744,0.01806372,0.003183578,0.0177898,0.004532159,0.002313496
53,10.43169,0.1915176,1.25e-06,0.07335271,0.003851744,0.06561031,0.003096912,0.01797189,0.003131662,0.0176453,0.004545076,0.002310747
54,10.62321,0.194535,1.166e-06,0.07555554,0.00421941,0.06601464,0.003124078,0.01785639,0.003127745,0.01774955,0.004562743,0.002323746
55,10.81774,0.1930255,1.416e-06,0.07505313,0.002810579,0.06609048,0.003146661,0.01805289,0.003128161,0.0177528,0.004663409,0.002325996
56,11.01077,0.1959343,1.417e-06,0.07695646,0.003873577,0.06607806,0.003083495,0.01809514,0.003082412,0.01789089,0.004543076,0.00232983
57,11.2067,0.1952353,1.167e-06,0.07756162,0.002778412,0.06584706,0.003101912,0.01802214,0.003094412,0.0178223,0.004652326,0.002353913
58,11.40194,0.1951241,1.166e-06,0.07616646,0.003903577,0.06599898,0.003381412,0.01785497,0.003201744,0.01775889,0.004531993,0.002324913
59,11.59706,0.200502,1.167e-06,0.08136095,0.00386116,0.06619573,0.003118578,0.01802555,0.003087745,0.01782914,0.00458266,0.002439329
60,11.79756,0.1941575,1.333e-06,0.07662629,0.002777829,0.06585406,0.003123162,0.01793614,0.003104245,0.0178818,0.004544492,0.002308163
61,11.99172,0.194063,1.167e-06,0.07618913,0.002870329,0.06589273,0.003156245,0.01778472,0.003406078,0.01778747,0.004654159,0.002320997
62,12.18578,0.1953727,1.5e-06,0.07646254,0.00419766,0.06560223,0.003081412,0.01818805,0.003094578,0.01788855,0.004537826,0.00231833
63,12.38115,0.1957173,1.417e-06,0.07666787,0.003881577,0.06604873,0.003100661,0.01805805,0.003235412,0.01784814,0.00457191,0.002303579
64,12.57687,0.1959578,1.333e-06,0.07650496,0.00392316,0.06644448,0.003114245,0.01813847,0.003093412,0.01777239,0.004652742,0.00231258
65,12.77283,0.1938629,1.167e-06,0.07655496,0.002687579,0.06578423,0.003233744,0.01776347,0.003099662,0.01776889,0.004641409,0.00232783
66,12.96669,0.1949797,1.334e-06,0.07731937,0.002627913,0.06589373,0.003109078,0.01825147,0.003123911,0.01780256,0.004548076,0.002302246
67,13.16167,0.1957982,1.667e-06,0.07748312,0.003308411,0.06595831,0.003129578,0.01807597,0.003103161,0.01777555,0.004648409,0.002313996
68,13.35747,0.1939893,1.416e-06,0.07609688,0.00388666,0.06531206,0.003083162,0.01797089,0.003133495,0.01764164,0.004543576,0.002319496
69,13.55146,0.203767,1.25e-06,0.08466678,0.004077494,0.06576514,0.003121328,0.01828689,0.003127078,0.01775364,0.004656743,0.002310663
