OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
0,0,0.1586266,4.167e-06,0.07427063,9.17e-07,0.01004015,0.02505529,0.01063273,0.008069321,0.003711994,0.008154486,0.003593328,0.002281996,0.005062992,0.007748571
1,0.1586266,0.158791,1.083e-06,0.07510646,1.083e-06,0.01741197,0.007817237,0.02754879,0.007461155,0.003294578,0.007172238,0.003400995,0.001909163,0.003670495,0.003995743
2,0.3174176,0.1439567,2.25e-06,0.07768371,1.166e-06,0.008094904,0.005729074,0.01583372,0.01293148,0.003831743,0.007075989,0.00385191,0.004148744,0.002457662,0.00231433
3,0.4613743,0.1324439,1.667e-06,0.07227163,1.084e-06,0.008412486,0.005699157,0.01157415,0.009692568,0.00400166,0.009478485,0.003711077,0.002643996,0.002469663,0.002486246
4,0.5938181,0.1743134,1.083e-06,0.09824809,2.417e-06,0.008672236,0.0105064,0.02233705,0.007477488,0.003111328,0.01112815,0.004088994,0.002053663,0.003199995,0.003486494
5,0.7681315,0.1375066,1.25e-06,0.07691954,1.083e-06,0.008054487,0.009861317,0.01420673,0.007373155,0.003433661,0.007440572,0.003421661,0.002096246,0.002367997,0.002328913
6,0.9056381,0.1439614,1.333e-06,0.07723071,1.25e-06,0.007487571,0.009994817,0.02052722,0.007593405,0.003139161,0.007596821,0.003121662,0.001864914,0.003060495,0.002342079
7,1.0496,0.1497933,1.583e-06,0.07556446,1.166e-06,0.007637571,0.009949234,0.02052872,0.01574014,0.003514828,0.007261988,0.003160412,0.001851914,0.002237663,0.002343663
8,1.199393,0.1592714,1.334e-06,0.07582879,8.34e-07,0.008416403,0.007228071,0.0206653,0.01574731,0.005712574,0.01560189,0.003567161,0.001851247,0.002304413,0.002346079
9,1.358664,0.182384,1.083e-06,0.08395653,8.34e-07,0.00777182,0.007501738,0.02514846,0.02431896,0.009206401,0.007503405,0.007605071,0.001827664,0.002251246,0.005290742
10,1.541048,0.1497543,1.083e-06,0.07591471,1.083e-06,0.007344239,0.009954567,0.0205188,0.01567839,0.003490327,0.007255322,0.003173911,0.001856331,0.00222333,0.002342246
11,1.690803,0.1599659,1.334e-06,0.07743812,1.167e-06,0.007632321,0.007241905,0.02062597,0.01566731,0.005742074,0.01557048,0.003543578,0.001798497,0.002224663,0.002478496
12,1.850769,0.1588856,1.083e-06,0.07779954,1e-06,0.007451655,0.007267988,0.01812322,0.01567389,0.005716574,0.01554889,0.004718326,0.001857997,0.002256163,0.002469246
13,2.009654,0.1538367,1.583e-06,0.07615113,9.16e-07,0.008331403,0.01000782,0.02052905,0.01572914,0.006149074,0.007281238,0.003146411,0.001868081,0.002219329,0.002421497
14,2.163491,0.1864556,1.25e-06,0.09813826,1.083e-06,0.01340114,0.01021398,0.02859145,0.01022082,0.004610576,0.0110674,0.003121912,0.00183658,0.002901912,0.002349246
15,2.349946,0.1521029,1.5e-06,0.07497505,8.34e-07,0.009877984,0.003702494,0.01497956,0.01585197,0.005740408,0.01573456,0.004780075,0.001879581,0.002243163,0.002335746
16,2.502049,0.1550155,1.417e-06,0.0738483,1.084e-06,0.007545821,0.007251738,0.01814414,0.01571206,0.005745408,0.01557681,0.004641909,0.001814914,0.002233163,0.002498746
17,2.657065,0.1407903,1.083e-06,0.07505438,1e-06,0.007522321,0.009975234,0.02054922,0.007484405,0.003140995,0.007327655,0.003172161,0.001841664,0.00223458,0.002485579
18,2.797855,0.1637352,1.166e-06,0.07536463,1e-06,0.008296236,0.01622772,0.03400353,0.008315653,0.003391078,0.007975404,0.003335828,0.002045663,0.002273663,0.002503579
19,2.96159,0.1639892,1.25e-06,0.07602963,1.084e-06,0.007738404,0.01642806,0.03404969,0.00831832,0.003368578,0.007993487,0.003366244,0.002010497,0.002244247,0.002439662
20,3.125579,0.1485778,1.167e-06,0.0743643,1e-06,0.007427404,0.01001373,0.02054163,0.01580022,0.003509245,0.007304321,0.003177828,0.001855164,0.002249497,0.002332246
21,3.274157,0.1498918,1.416e-06,0.07545463,1.333e-06,0.007700737,0.009994984,0.02053013,0.01581522,0.003464078,0.007268988,0.003132079,0.00182408,0.002298996,0.002405163
22,3.424049,0.1412509,1.334e-06,0.07486555,1e-06,0.008430153,0.009793567,0.02054913,0.007494988,0.003152495,0.007320321,0.003164495,0.00186383,0.002270663,0.002343413
23,3.5653,0.1517491,1.333e-06,0.07503196,9.17e-07,0.008576819,0.0101609,0.02053022,0.01595606,0.003479411,0.007630155,0.003836993,0.001874664,0.002277996,0.002391663
24,3.717049,0.1425806,1.167e-06,0.07482496,1.166e-06,0.008416403,0.007239572,0.01495048,0.01164773,0.00442066,0.01151915,0.003258994,0.001711581,0.002283663,0.00230508
25,3.85963,0.1513194,1.666e-06,0.07511338,1e-06,0.009420318,0.009978401,0.02049697,0.01578764,0.003445995,0.007302405,0.003177828,0.001842247,0.002279496,0.002472079
26,4.010949,0.1345894,1.666e-06,0.07655929,9.17e-07,0.008006487,0.005782658,0.01160856,0.009353902,0.003710244,0.009251485,0.004073493,0.001628998,0.002266329,0.00234533
27,4.145538,0.1353579,1e-06,0.07604713,8.33e-07,0.007633821,0.007258738,0.01477014,0.009028736,0.002995745,0.007573821,0.003072412,0.001762414,0.002865078,0.002347996
28,4.280896,0.1513496,1.417e-06,0.07432838,1e-06,0.009455235,0.009949817,0.02048122,0.01587556,0.003431078,0.007349404,0.003829578,0.00186383,0.002343163,0.002439913
29,4.432246,0.1513696,1.166e-06,0.07626788,1e-06,0.007655988,0.01079223,0.0204928,0.01576272,0.003449911,0.007264655,0.003157411,0.001841414,0.00223433,0.002448079
30,4.583615,0.1510213,1.333e-06,0.07674263,1e-06,0.007548738,0.009984234,0.02049855,0.01580739,0.003588078,0.007284072,0.003140911,0.00186458,0.00220483,0.002354913
31,4.734637,0.1444599,1.5e-06,0.07619746,8.33e-07,0.009014485,0.007453738,0.01478364,0.01154515,0.004420826,0.01150057,0.003245912,0.001727497,0.00221658,0.002351662
32,4.879097,0.1371533,1.167e-06,0.07706979,1e-06,0.00848507,0.003324328,0.006735822,0.01220281,0.004427243,0.01179506,0.004435826,0.002921745,0.002419413,0.003333995
