OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
0,0,2.10304,7.834e-06,0.006746239,8.33e-07,2.055984,0.004904492,0.009736984,0.008141403,0.00226083,0.002628996,0.006199573,0.001917914,0.002631162,0.000833915,0.001046332
1,2.10304,0.1081248,1.084e-06,0.007674904,9.17e-07,0.01581856,0.002730996,0.01563647,0.0522385,0.00191958,0.002846745,0.003149578,0.002320163,0.002799746,0.000596582,0.000390999
2,2.211165,0.02976312,1.834e-06,0.006848655,8.33e-07,0.001141165,0.001141582,0.002889495,0.002931662,0.001843664,0.002423662,0.003332412,0.00391516,0.002378496,0.000574916,0.000339583
3,2.240928,0.0398736,1.417e-06,0.006651406,1e-06,0.001559997,0.001264331,0.005567075,0.008579652,0.001878997,0.002393996,0.003849661,0.004867492,0.002349579,0.000583999,0.000325
4,2.280802,0.04571293,1.25e-06,0.006419989,8.34e-07,0.001119998,0.00209508,0.005009242,0.009112735,0.00200933,0.002373163,0.005307741,0.008988152,0.00234483,0.000589499,0.000341082
5,2.326515,0.03398011,1.666e-06,0.006636073,1.083e-06,0.001427914,0.00218708,0.004609743,0.004288159,0.001683498,0.002512329,0.005555324,0.001772581,0.002353746,0.000574416,0.000376499
6,2.360495,0.03251353,1.417e-06,0.01025465,9.17e-07,0.001492997,0.001564581,0.003653994,0.003337745,0.001387747,0.00237008,0.003842077,0.001320331,0.002358246,0.000587416,0.000341333
7,2.393008,0.03882602,1.167e-06,0.006244407,7.5e-07,0.001782663,0.002451413,0.009566985,0.005241491,0.001494664,0.002352746,0.00453241,0.001869997,0.002358412,0.000575583,0.000353333
8,2.431834,0.047841,1.5e-06,0.009630984,1.667e-06,0.001623414,0.004238076,0.006089324,0.006350656,0.006520823,0.002360496,0.004304409,0.001395582,0.002361246,0.002609329,0.000353499
9,2.479675,0.05502091,1.25e-06,0.009895817,9.16e-07,0.001307415,0.00230958,0.004463992,0.009059986,0.008751069,0.002351412,0.007775488,0.00583649,0.00234333,0.000586332,0.000337833
10,2.534696,0.04858584,1.25e-06,0.006862572,8.34e-07,0.001156331,0.004084327,0.009643567,0.00404116,0.001458748,0.002368996,0.01404156,0.001440664,0.002548329,0.000574166,0.000363333
