OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
0,0,0.6564975,4.417e-06,0.3615361,1e-06,0.0295988,0.07407325,0.03964462,0.02750289,0.01089416,0.05495544,0.01215265,0.007126992,0.01799165,0.02101556
1,0.6564975,0.6060585,1.333e-06,0.4090698,9.17e-07,0.04036804,0.0145899,0.0300623,0.02359047,0.01070299,0.03245763,0.01656115,0.006329327,0.01182082,0.01050382
2,1.262556,0.5996214,1.333e-06,0.3728677,8.33e-07,0.02905989,0.07427367,0.03096038,0.03316005,0.009263656,0.0190949,0.00898774,0.004848328,0.008067825,0.009035156
3,1.862177,0.5349909,2.25e-06,0.381721,9.17e-07,0.03560013,0.01643223,0.02296064,0.02032539,0.01278224,0.0180019,0.00896749,0.003968996,0.008052658,0.006175076
4,2.397168,0.5593297,1.25e-06,0.3683194,1e-06,0.02167931,0.06822976,0.02889113,0.01932564,0.008954407,0.01868373,0.009898239,0.004086329,0.005666993,0.005592494
5,2.956498,0.6049993,1.25e-06,0.3941755,1e-06,0.04736453,0.03195596,0.03167972,0.02800372,0.008252491,0.02985338,0.01486682,0.006958075,0.007431992,0.004454912
6,3.561497,0.5231763,1.334e-06,0.3686407,1.083e-06,0.0263178,0.01445623,0.02902013,0.02612989,0.008250657,0.01911681,0.01141399,0.005982493,0.006827243,0.007017909
7,4.084674,0.5116486,1.25e-06,0.3676416,8.34e-07,0.02649222,0.0143044,0.02877614,0.02088231,0.008508491,0.01968565,0.008682157,0.004089329,0.005792327,0.006791909
8,4.596322,0.5119551,1.333e-06,0.3693652,1e-06,0.02617147,0.01426757,0.02857722,0.02120081,0.008250324,0.01920523,0.008625574,0.004764745,0.005555494,0.00596916
9,5.108277,0.5092262,1.25e-06,0.3693969,9.17e-07,0.02655672,0.01430615,0.02853322,0.01864265,0.007860408,0.01971148,0.009096073,0.004072246,0.005163327,0.005884827
10,5.617504,0.5914526,1.167e-06,0.3697377,9.16e-07,0.02873764,0.07391559,0.0310448,0.03548021,0.008910157,0.01849565,0.009527323,0.004934745,0.00577216,0.004894578
11,6.208956,0.5483326,1.167e-06,0.3687077,1.333e-06,0.02879497,0.01397232,0.02877805,0.0321158,0.01322607,0.02749239,0.01301649,0.007274825,0.009276073,0.005675494
12,6.757289,0.5907498,1.5e-06,0.3688692,1e-06,0.02887122,0.07403683,0.03087472,0.03542596,0.008906823,0.01910481,0.009030157,0.004829911,0.005782744,0.005014911
13,7.348039,0.5950134,1.166e-06,0.3700273,9.17e-07,0.02922264,0.07395659,0.03111572,0.03489538,0.01045532,0.0198314,0.008385324,0.004888578,0.005865243,0.006367827
14,7.943052,0.5964883,1.25e-06,0.3732405,8.33e-07,0.02928905,0.07383475,0.03160163,0.03519338,0.008594741,0.01901923,0.00926749,0.004784661,0.00581416,0.005846577
15,8.53954,0.6237665,1.25e-06,0.372741,7.5e-07,0.02892455,0.07387892,0.03097772,0.03954954,0.01285299,0.0302788,0.0114804,0.006571743,0.00919049,0.007318325
16,9.163307,0.5670335,1.25e-06,0.3684061,1.083e-06,0.02805997,0.04966211,0.03073588,0.03464288,0.01099357,0.0189809,0.00927274,0.004710745,0.005563993,0.006002327
17,9.73034,0.5288046,1.334e-06,0.3685172,9.16e-07,0.02879972,0.01396865,0.02917505,0.03273746,0.01047899,0.01941898,0.008488658,0.004867161,0.005871243,0.006479243
18,10.25914,0.5089584,1.417e-06,0.3681316,1.166e-06,0.02545847,0.01426782,0.02842164,0.01803623,0.008999906,0.01960148,0.009688239,0.003979912,0.006005827,0.00636466
19,10.7681,0.5089092,1.167e-06,0.3682035,1.25e-06,0.02624322,0.01396115,0.02837664,0.01793323,0.008379574,0.01933831,0.009526573,0.003996163,0.006641492,0.00630691
20,11.27701,0.5827754,1.333e-06,0.368129,8.33e-07,0.0274663,0.04907828,0.03003863,0.03602104,0.01228157,0.02706655,0.01160857,0.007594825,0.007848824,0.005639661
