OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
0,0,0.02510513,4.5e-06,0.004776244,5.83e-07,0.000802582,0.00240208,0.003928745,0.003379162,0.002020997,0.003488912,0.001932913,0.001119166,0.000584499,0.000664749
1,0.02510513,0.07271865,1.333e-06,0.02962388,1e-06,0.007492406,0.0269658,0.005395243,0.000802999,0.000543582,0.000773083,0.000548082,0.0002765,0.000200833,9.3916e-05
2,0.09782378,0.008516154,8.33e-07,0.003173662,5e-07,0.000425333,0.000667249,0.000864165,0.000827749,0.000596416,0.000804332,0.000545749,0.000271583,0.000215,0.000123583
3,0.1063399,0.008541822,9.17e-07,0.003295329,8.33e-07,0.000413749,0.0006485,0.000841165,0.000790749,0.000550832,0.000850916,0.000555499,0.000284666,0.000204917,0.00010375
4,0.1148818,0.01225315,8.33e-07,0.003263746,9.16e-07,0.00052625,0.002926996,0.001436081,0.001215998,0.000593833,0.000816165,0.000912999,0.000272166,0.0001965,9.0666e-05
5,0.1271349,0.01793481,1.083e-06,0.003503412,1.5e-06,0.000529582,0.001552081,0.001268915,0.001155665,0.007407823,0.001110665,0.000707416,0.000369166,0.000206333,0.000121167
6,0.1450697,0.01367115,1.084e-06,0.004487743,1e-06,0.00048525,0.003147828,0.001209582,0.001094165,0.000723583,0.001077915,0.000713415,0.000376833,0.000247166,0.000105584
7,0.1587409,0.01731923,1.334e-06,0.00462091,8.33e-07,0.000447166,0.000903416,0.001292331,0.001167498,0.005571659,0.001185165,0.001025749,0.000499416,0.000478666,0.000125083
8,0.1760601,0.01885739,1.417e-06,0.005085826,9.17e-07,0.000538582,0.001127915,0.001683665,0.006153574,0.000946582,0.001449665,0.001013749,0.000499499,0.000243583,0.000112416
9,0.1949175,0.02055105,1.417e-06,0.00463116,1.25e-06,0.000529082,0.001181582,0.008301488,0.001541415,0.000965915,0.001468581,0.000952749,0.000509583,0.000281083,0.000185749
10,0.2154685,0.01639306,1.666e-06,0.006704824,1.333e-06,0.000809416,0.000969082,0.001683164,0.001481582,0.000953915,0.001486164,0.000975249,0.000507749,0.000633083,0.000185833
11,0.2318616,0.01989139,1.666e-06,0.005748826,1.5e-06,0.000694082,0.005794492,0.001743497,0.001492581,0.000976999,0.001462165,0.001004665,0.000591416,0.000257416,0.000122083
12,0.251753,0.01374723,1.5e-06,0.004660911,9.16e-07,0.000550166,0.001638248,0.00239658,0.001125081,0.000732916,0.001102415,0.000757249,0.000385916,0.0002725,0.000122833
13,0.2655002,0.01871314,1.5e-06,0.007647822,9.17e-07,0.000436583,0.003707578,0.002618663,0.001091665,0.000709666,0.001074248,0.000723332,0.000376166,0.000216834,0.000108166
14,0.2842133,0.01743598,1.583e-06,0.004484077,8.34e-07,0.002476746,0.003179496,0.001787497,0.001431165,0.000903582,0.001398081,0.000889416,0.000485582,0.000289167,0.00010875
15,0.3016493,0.02016605,1.167e-06,0.003795745,8.33e-07,0.002640496,0.006195575,0.001703081,0.001491664,0.000905666,0.001684331,0.000903665,0.000493249,0.000241667,0.000108916
16,0.3218154,0.01615964,1.25e-06,0.007065324,1.166e-06,0.000489833,0.001529664,0.001597081,0.001428248,0.000900083,0.001407914,0.000897332,0.000495833,0.000237166,0.00010875
17,0.337975,0.02010556,1.084e-06,0.006865073,9.17e-07,0.000525833,0.005211909,0.001975747,0.001422665,0.000993832,0.001398915,0.000890498,0.000482583,0.000229833,0.000106667
18,0.3580806,0.01487581,1.083e-06,0.005877909,7.5e-07,0.000470166,0.001298748,0.001589164,0.001476415,0.000895582,0.001405081,0.001029749,0.000491749,0.000237833,0.000101583
19,0.3729564,0.01778798,1.25e-06,0.008591654,1e-06,0.000471666,0.003145246,0.001298165,0.001088748,0.000708749,0.001074915,0.000708499,0.000376083,0.000217416,0.000104584
20,0.3907444,0.01477256,1.25e-06,0.006431157,1.417e-06,0.000485083,0.002486413,0.001193415,0.001068915,0.000693416,0.001052248,0.000688249,0.000368416,0.00020125,0.000101333
21,0.4055169,0.01669214,1e-06,0.003463662,9.17e-07,0.000346249,0.000934749,0.001178082,0.007615989,0.000697582,0.001056832,0.000714582,0.000369167,0.000201749,0.000111584
22,0.4222091,0.01585098,9.17e-07,0.004206077,9.17e-07,0.000491749,0.000690249,0.001194249,0.006126741,0.000708582,0.001061749,0.000689832,0.000376666,0.000204,9.925e-05
23,0.4380601,0.01862606,1e-06,0.004032828,1e-06,0.000362666,0.000874499,0.001191581,0.001075999,0.000710499,0.008930987,0.000759416,0.000377999,0.000204333,0.00010325
