OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
30,11.96356,0.335169,1.334e-06,0.1480895,9.17e-07,0.007461906,0.01692506,0.03710695,0.01673698,0.01755581,0.02584688,0.01232765,0.01021224,0.02119722,0.02020822,0.001498248
31,12.29873,0.3367049,1.583e-06,0.1444162,9.17e-07,0.00745049,0.01709173,0.03768895,0.01274498,0.01962339,0.02894071,0.01343856,0.0114734,0.0219753,0.02035464,0.001503998
32,12.63544,0.2944152,1.333e-06,0.1446422,1.167e-06,0.007698323,0.01656431,0.01301115,0.01254032,0.01329348,0.02417805,0.01126349,0.008791654,0.02072681,0.02021022,0.001492665
33,12.92985,0.31829,1.583e-06,0.1463735,1.084e-06,0.009490237,0.02525497,0.01287232,0.01126215,0.01667081,0.02810463,0.01299698,0.01093007,0.02143955,0.02101481,0.00187733
34,13.24814,0.358203,1.166e-06,0.1440916,1.083e-06,0.00749674,0.01752064,0.05863067,0.02107855,0.01487673,0.02518705,0.01448023,0.01166032,0.0215123,0.02017781,0.001488081
35,13.60634,0.3689025,1.167e-06,0.1442248,1.083e-06,0.008824405,0.02514363,0.04866868,0.03427587,0.01481631,0.02687413,0.01233432,0.01087332,0.02117539,0.02018706,0.001502331
36,13.97525,0.3254485,2.25e-06,0.154299,1e-06,0.007205073,0.007175574,0.0210358,0.01730989,0.01309648,0.02555571,0.02758405,0.009971069,0.02092889,0.01979606,0.001487665
37,14.30069,0.3094457,1.5e-06,0.1475325,9.17e-07,0.00957332,0.02518622,0.01261823,0.01116499,0.01372356,0.02383197,0.01224023,0.01060465,0.02109455,0.02037805,0.001494998
38,14.61014,0.3159265,1.25e-06,0.147361,9.17e-07,0.009669653,0.02514097,0.0128814,0.01124615,0.01597565,0.02583138,0.01307748,0.01107098,0.02114964,0.02023589,0.00228408
39,14.92607,0.3072416,1.416e-06,0.1443339,9.17e-07,0.00963507,0.02510288,0.01264398,0.01125174,0.0146464,0.02442847,0.01224423,0.0100444,0.02109739,0.02031747,0.001493331
40,15.23331,0.3293268,1.667e-06,0.146387,9.17e-07,0.00724474,0.007911156,0.03611878,0.0272518,0.01394181,0.02536297,0.01183848,0.01075999,0.02104597,0.01998147,0.001480081
41,15.56264,0.3541694,2.167e-06,0.154235,9.17e-07,0.00736524,0.007691989,0.03689912,0.02885338,0.02240855,0.02904696,0.01351181,0.01051707,0.02118539,0.02017664,0.002275247
42,15.9168,0.3140883,1.5e-06,0.1476545,9.17e-07,0.009936236,0.02483022,0.01297348,0.01187257,0.01513115,0.02455538,0.01301815,0.0110114,0.02116614,0.02044206,0.001494664
43,16.23089,0.3131562,1.167e-06,0.1454198,7.5e-07,0.009528403,0.0252048,0.01314723,0.01196015,0.01562948,0.02510405,0.01300665,0.01101457,0.02141597,0.0202213,0.001501915
44,16.54405,0.3135311,1.417e-06,0.1465413,9.17e-07,0.009922153,0.02492405,0.01271632,0.01199532,0.0154229,0.02463322,0.01327798,0.01100423,0.0211623,0.02043664,0.001492415
45,16.85758,0.3138028,1.417e-06,0.1465417,8.33e-07,0.00959457,0.02521088,0.01272832,0.01207057,0.01530948,0.02487038,0.01297381,0.01145448,0.02116905,0.0203843,0.001492998
46,17.17138,0.3192708,1.416e-06,0.1473416,8.33e-07,0.00746574,0.01042632,0.0225118,0.01828597,0.01451556,0.02847004,0.01673714,0.01058165,0.0210748,0.01989756,0.001960331
47,17.49065,0.3222874,2.084e-06,0.1558048,8.34e-07,0.009614153,0.02521347,0.01396006,0.01122957,0.01455415,0.02568738,0.01243023,0.01087849,0.02116872,0.02024472,0.001498748
48,17.81294,0.310185,1.416e-06,0.1466286,1e-06,0.007347323,0.01045299,0.02262572,0.01769256,0.01299723,0.02496972,0.01399898,0.01072765,0.02123164,0.02002672,0.001483415
49,18.12313,0.3433512,2.083e-06,0.1542181,9.17e-07,0.007439906,0.01690931,0.03737028,0.02032706,0.01507815,0.02538022,0.0128444,0.01068415,0.02117164,0.02043939,0.001485582
50,18.46648,0.3351542,1.333e-06,0.1444361,9.17e-07,0.007773072,0.02503038,0.03156621,0.0121499,0.01947456,0.02771371,0.01281507,0.01100798,0.02124755,0.02045197,0.001485414
51,18.80163,0.3049069,1.083e-06,0.144355,1.083e-06,0.007437407,0.01775264,0.01382548,0.0114919,0.01606131,0.02584371,0.01311931,0.0114084,0.0212448,0.01994406,0.002420747
52,19.10654,0.334048,1.25e-06,0.1449486,9.16e-07,0.00740199,0.01680614,0.03744562,0.01830147,0.01693914,0.02554046,0.0127144,0.01069232,0.0211698,0.02002781,0.00205808
53,19.44059,0.3133261,1.25e-06,0.1447673,1.167e-06,0.007498156,0.01036124,0.02369363,0.01862322,0.01410406,0.0267893,0.01416206,0.01079473,0.02105189,0.01997939,0.001498664
54,19.75391,0.3132532,1.834e-06,0.1476355,7.5e-07,0.009986652,0.02486138,0.01284632,0.0122274,0.01408515,0.02449922,0.01318498,0.01086023,0.02116305,0.02041689,0.001483748
