OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
30,2.421,0.02387304,8.33e-07,0.00189533,8.34e-07,0.000372166,0.001349248,0.00589099,0.008618653,0.000476665,0.000841916,0.002774329,0.000489665,0.000795416,0.000223916,0.000143083
31,2.444873,0.02576213,9.17e-07,0.001910746,7.5e-07,0.000849582,0.003195329,0.0113594,0.002763245,0.000491749,0.000839082,0.002711079,0.000478499,0.000811832,0.000206667,0.00014325
32,2.470635,0.0239893,7.5e-07,0.001904081,6.66e-07,0.00039375,0.001343914,0.01196265,0.002686163,0.000490665,0.000832582,0.002622913,0.000541166,0.000862248,0.000204167,0.000143583
33,2.494624,0.02697887,1.25e-06,0.001913664,7.5e-07,0.000670832,0.001227665,0.01479923,0.002807078,0.000481,0.000839832,0.002612829,0.000467666,0.000805582,0.000206416,0.000145083
34,2.521603,0.02471563,1.083e-06,0.002153496,7.5e-07,0.000412083,0.001498914,0.01206881,0.002743996,0.000524832,0.000842165,0.002828329,0.000482833,0.000806248,0.000206917,0.000145166
35,2.546319,0.02495871,1.25e-06,0.001886664,8.33e-07,0.000963499,0.002303079,0.01133715,0.002624163,0.000482916,0.000838748,0.002862079,0.000482999,0.000807582,0.000206,0.00016175
36,2.571278,0.02380138,8.34e-07,0.001908413,8.33e-07,0.00038525,0.001316581,0.005918824,0.008663986,0.000497665,0.000846332,0.002616829,0.000489916,0.000792666,0.000222833,0.000140416
37,2.595079,0.02603196,9.16e-07,0.00226283,7.5e-07,0.000400166,0.001495581,0.01339515,0.002757995,0.00048525,0.000840915,0.002750829,0.000488166,0.000792582,0.000217583,0.000143249
38,2.621111,0.02694737,1e-06,0.001904497,6.66e-07,0.00043675,0.001347664,0.01185331,0.002680746,0.000487416,0.000837998,0.005694574,0.000541916,0.000813999,0.000204833,0.000142
39,2.648058,0.02607154,6.67e-07,0.001908247,5.83e-07,0.000447499,0.001269998,0.01417106,0.00252058,0.000485665,0.000836749,0.002657329,0.000553083,0.000853165,0.000222333,0.000144583
40,2.67413,0.02326288,1.083e-06,0.00214008,7.5e-07,0.001071832,0.002889078,0.009030569,0.002546746,0.000488166,0.000837248,0.00261758,0.000478249,0.000810915,0.000207833,0.00014275
41,2.697393,0.02557271,1.084e-06,0.00188208,7.5e-07,0.000412749,0.001327165,0.01330256,0.002723913,0.000643665,0.000834749,0.002810662,0.000473499,0.000812499,0.00020375,0.000143583
42,2.722965,0.02298371,1e-06,0.001912247,5.84e-07,0.000383999,0.001327414,0.005508325,0.008247153,0.000492499,0.000820499,0.002624412,0.000479499,0.000818666,0.000204583,0.000162833
43,2.745949,0.02538679,9.16e-07,0.002182747,9.17e-07,0.001068331,0.002367913,0.01141465,0.002700579,0.000491583,0.000837331,0.002669829,0.0004935,0.000807915,0.000207666,0.000142917
44,2.771336,0.02395354,1.083e-06,0.001901497,7.5e-07,0.000393333,0.001326748,0.01195156,0.002515496,0.000479999,0.000917915,0.002724329,0.000568582,0.000808166,0.000221583,0.000142499
45,2.79529,0.02444471,8.33e-07,0.00192833,8.34e-07,0.000422416,0.001271831,0.005445408,0.009723067,0.000477,0.000837415,0.002683079,0.000473832,0.000810666,0.000205666,0.000164333
46,2.819734,0.02422879,1e-06,0.002190663,9.17e-07,0.001293998,0.00232008,0.008067903,0.005002159,0.000450582,0.000839082,0.002453996,0.000447833,0.000811165,0.00020525,0.000144166
47,2.843963,0.0220893,1.167e-06,0.001905664,8.33e-07,0.000405999,0.001122665,0.01107832,0.002162164,0.000454499,0.000836415,0.002399413,0.000440916,0.000929165,0.000206,0.000146083
48,2.866052,0.02204355,1.25e-06,0.001912247,7.5e-07,0.000431166,0.000825665,0.005328658,0.007949821,0.000485582,0.000834582,0.002637829,0.000475749,0.000809249,0.0002065,0.0001445
49,2.888096,0.02440613,8.33e-07,0.00190833,6.67e-07,0.000403666,0.001026831,0.005083242,0.0101539,0.000493666,0.000844166,0.002682162,0.000643249,0.000796082,0.000225833,0.0001435
50,2.912502,0.02360688,8.33e-07,0.001912164,8.33e-07,0.00039925,0.001330331,0.01163173,0.002687912,0.000494416,0.000832582,0.002672496,0.000484166,0.000794915,0.000219166,0.000146083
51,2.936109,0.02851187,9.17e-07,0.002744746,7.5e-07,0.000910498,0.002382246,0.01143006,0.005438908,0.000495999,0.000839332,0.002629329,0.000486166,0.000794915,0.00021275,0.00014525
52,2.964621,0.02441263,9.16e-07,0.00190533,8.34e-07,0.000389749,0.001027082,0.0124964,0.002705079,0.000530583,0.000916998,0.002797162,0.000484499,0.000809582,0.000206167,0.000142249
53,2.989033,0.02458263,9.17e-07,0.002438162,8.34e-07,0.000482165,0.002096664,0.01131548,0.002649329,0.000484916,0.000837749,0.002642662,0.000472333,0.000810915,0.000206916,0.000143584
54,3.013616,0.02441996,1.083e-06,0.001907997,8.34e-07,0.000423582,0.001027249,0.01257723,0.002746912,0.000491999,0.000867332,0.002727579,0.000485666,0.000813915,0.000204917,0.000143666
55,3.038036,0.02910379,1.084e-06,0.001920913,6.67e-07,0.000392832,0.001031915,0.01414764,0.002909912,0.003571911,0.000837332,0.002653745,0.000475666,0.000813916,0.000203499,0.00014275
56,3.06714,0.02368754,1e-06,0.00190058,8.33e-07,0.000391583,0.001349914,0.01156906,0.002740162,0.000477249,0.000838249,0.002607662,0.000625916,0.000819415,0.00020275,0.000163166
57,3.090827,0.02414246,6.67e-07,0.00190033,6.67e-07,0.000400749,0.001030415,0.005508324,0.009711651,0.000483166,0.000838499,0.002629912,0.000475916,0.000811415,0.000205917,0.000144833
58,3.11497,0.0389201,1e-06,0.003944244,7.5e-07,0.000440499,0.002423413,0.01004198,0.00809082,0.008822153,0.000835248,0.002689329,0.00047075,0.000811415,0.000205,0.000143499
59,3.15389,0.02205521,1.083e-06,0.00189783,1.167e-06,0.003781911,0.005251991,0.002984578,0.00261708,0.000489665,0.000822082,0.002565496,0.000470999,0.000811332,0.000204417,0.000155583
60,3.175945,0.03706836,1.167e-06,0.005025159,1e-06,0.000468082,0.001207165,0.01555106,0.008869235,0.000482666,0.000848082,0.002965079,0.000483999,0.000814499,0.000204083,0.000147083
61,3.213013,0.0285202,1e-06,0.001895997,8.33e-07,0.000423249,0.002977995,0.01237831,0.005041408,0.000535916,0.000823582,0.002663496,0.000494415,0.000919666,0.000221333,0.000142999
62,3.241534,0.0288737,9.16e-07,0.001891747,9.17e-07,0.000981998,0.003616911,0.01128906,0.002461163,0.000478582,0.000837999,0.005420741,0.000698249,0.000821165,0.000207166,0.000167084
63,3.270407,0.03022328,9.17e-07,0.00191233,7.5e-07,0.000359999,0.000922665,0.007301239,0.01406364,0.000498583,0.000835665,0.002688579,0.000478583,0.000808998,0.000206917,0.000144416
64,3.300631,0.02244788,8.33e-07,0.001896331,5e-07,0.000461666,0.001031998,0.005057492,0.008396736,0.000494666,0.000822582,0.002613579,0.000480749,0.000793082,0.000253,0.000144666
65,3.323079,0.02522821,1.25e-06,0.00190158,5.84e-07,0.000438499,0.001331331,0.01330048,0.002682329,0.000483333,0.000834915,0.002608496,0.000469832,0.000807833,0.000206666,0.000161083
66,3.348307,0.02369055,9.17e-07,0.001913496,6.67e-07,0.0003795,0.000918581,0.003603578,0.01104515,0.000487915,0.000833332,0.002825912,0.000499083,0.000807499,0.000228749,0.000146167
67,3.371997,0.02563113,1e-06,0.001905497,7.5e-07,0.000384333,0.001027581,0.01415023,0.002505413,0.000476082,0.000838416,0.002703662,0.000477583,0.000812415,0.000204,0.000144166
68,3.397628,0.02383796,1.083e-06,0.001892914,5.83e-07,0.000413333,0.003192995,0.009849817,0.002689329,0.000504916,0.000834582,0.002799579,0.000483999,0.000823082,0.00020675,0.000144999
69,3.421466,0.02558863,1.417e-06,0.00190433,6.67e-07,0.001242914,0.000827332,0.01324748,0.002644495,0.000555833,0.000883332,0.002639829,0.000483582,0.000805249,0.000208333,0.000143833
70,3.447055,0.02257805,9.16e-07,0.001908747,6.67e-07,0.000397083,0.001025165,0.005067741,0.00850782,0.000498166,0.000842248,0.002693913,0.000475082,0.000810749,0.000205749,0.000144
71,3.469633,0.02545929,1.083e-06,0.001907914,5.83e-07,0.000376249,0.001350415,0.01360589,0.002602746,0.000494583,0.000836248,0.002652163,0.000468249,0.000807915,0.000206833,0.000148417
72,3.495092,0.0220858,1e-06,0.00191333,7.5e-07,0.000423,0.000921415,0.01046515,0.002575995,0.000500583,0.000819249,0.002756412,0.000501999,0.000858832,0.000205666,0.000142417
73,3.517178,0.02569754,1.25e-06,0.001901497,6.67e-07,0.000398833,0.001028415,0.01417173,0.002526496,0.000483665,0.000837916,0.002703245,0.0004695,0.000808915,0.00020675,0.000158666
74,3.542876,0.02421671,1.25e-06,0.00196933,6.67e-07,0.000982498,0.002682329,0.009913151,0.002849578,0.000488166,0.000861832,0.002840079,0.000471833,0.000810248,0.000203417,0.000142333
75,3.567092,0.02430854,1.25e-06,0.001919413,6.67e-07,0.000433749,0.001035165,0.005571074,0.009638318,0.000490583,0.000841831,0.002632496,0.000535749,0.000862999,0.000203916,0.000141333
76,3.591401,0.02253146,9.17e-07,0.00192058,6.67e-07,0.000399083,0.001028998,0.005055992,0.008506736,0.000483749,0.000834749,0.002657995,0.000475333,0.000810332,0.000206166,0.000150167
77,3.613932,0.02806104,1.083e-06,0.001890914,6.66e-07,0.000411166,0.001334415,0.01335806,0.002504996,0.003521078,0.000833332,0.002567996,0.000477749,0.000806332,0.000207416,0.000145833
78,3.641993,0.02347738,1.083e-06,0.001904914,5.83e-07,0.000408833,0.001036748,0.00594949,0.00840532,0.000480999,0.000840915,0.002687496,0.000478333,0.000932581,0.000204917,0.000145166
79,3.665471,0.02581612,1.084e-06,0.001893747,7.5e-07,0.000373749,0.001024915,0.01418223,0.002691162,0.000493416,0.000838249,0.002682745,0.000476083,0.000809249,0.000206416,0.000142333
80,3.691287,0.02682779,1.333e-06,0.002081747,6.66e-07,0.000585333,0.003234994,0.009609235,0.005659741,0.000477416,0.000836248,0.002703412,0.000478833,0.000809749,0.000205583,0.000143499
81,3.718115,0.03035112,1.083e-06,0.001915414,7.5e-07,0.000384416,0.001030998,0.005831907,0.01439681,0.000579499,0.000839082,0.003646494,0.000558916,0.000817249,0.000206916,0.000141583
