OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
0,0,2.060888,8.75e-06,0.003813578,6.66e-07,2.031525,0.002881163,0.005300993,0.005039742,0.001595415,0.000940499,0.005053742,0.001510415,0.001319831,0.001257749,0.000640499
1,2.060888,0.07800089,1.417e-06,0.02930904,9.17e-07,0.000493249,0.01864347,0.02057664,0.002494746,0.000631749,0.000942499,0.002180497,0.000690832,0.000891166,0.000969165,0.0001755
2,2.138889,0.02138055,2.667e-06,0.005419492,8.34e-07,0.000449082,0.000662166,0.002765413,0.00243658,0.000737165,0.000833249,0.005577826,0.000729082,0.000824249,0.000841832,0.000100916
3,2.16027,0.01955214,1.083e-06,0.003912328,1e-06,0.000532999,0.000659166,0.002730913,0.00218933,0.003491162,0.000832582,0.002576913,0.000766332,0.000829999,0.000929915,9.8417e-05
4,2.179822,0.02312013,1.083e-06,0.003192579,6.67e-07,0.000457999,0.000866166,0.002638579,0.002686496,0.000809083,0.000831332,0.009085487,0.000768332,0.000806749,0.000865999,0.000109583
5,2.202942,0.02587038,1.5e-06,0.003314745,8.33e-07,0.000443833,0.000882582,0.01064074,0.002980163,0.000862999,0.000927498,0.003000579,0.000790666,0.000884832,0.000983749,0.000155666
6,2.228812,0.03210746,2.167e-06,0.00665124,1.25e-06,0.000677666,0.001132832,0.00438616,0.008027989,0.001097665,0.001562664,0.003826912,0.001271081,0.001586748,0.001654748,0.000228333
7,2.26092,0.03166787,2.084e-06,0.006308991,1.666e-06,0.000706833,0.001163248,0.004250244,0.008278655,0.001120665,0.001687998,0.003552078,0.001162165,0.001565081,0.001662081,0.000206083
8,2.292588,0.02724755,2.167e-06,0.006225241,1.25e-06,0.000724582,0.003905745,0.003596662,0.003713161,0.000881499,0.001304748,0.003240579,0.000939415,0.001246332,0.001329998,0.000136166
9,2.319835,0.0256663,1.584e-06,0.00674524,1.084e-06,0.000613665,0.002673913,0.003361746,0.003181079,0.000837915,0.001301498,0.003296412,0.000936832,0.001240415,0.001334498,0.000140417
10,2.345501,0.0267523,1.583e-06,0.005401993,1e-06,0.000620249,0.004915493,0.003489828,0.003042913,0.001034498,0.000987416,0.002871079,0.00216633,0.000978666,0.001124748,0.0001165
11,2.372254,0.02151289,1.167e-06,0.005958575,1.25e-06,0.000510916,0.001241164,0.004143911,0.00266208,0.000767582,0.000837749,0.002711329,0.000819249,0.000883166,0.000858665,0.000116083
12,2.393767,0.02791404,9.16e-07,0.005993825,1.25e-06,0.000426166,0.005152827,0.004548493,0.002649663,0.001014249,0.000839665,0.00476066,0.000756166,0.000791249,0.000872248,0.000106667
13,2.421681,0.02572821,8.34e-07,0.003184245,6.67e-07,0.000608916,0.001069082,0.006225074,0.007806156,0.000747332,0.000838749,0.002705746,0.000762749,0.000813999,0.000855082,0.000109583
14,2.447409,0.02640071,9.16e-07,0.003373162,7.5e-07,0.000899582,0.001085082,0.003541745,0.004571994,0.006294324,0.000834332,0.003109413,0.000916498,0.000812749,0.000851749,0.000108417
15,2.47381,0.02475955,1.084e-06,0.00696149,8.33e-07,0.000554666,0.00462816,0.003027163,0.002652246,0.000750582,0.000842332,0.002811496,0.000747333,0.000815998,0.000854999,0.000111167
16,2.498569,0.0240643,1.083e-06,0.003211745,5.84e-07,0.000383833,0.001218748,0.003613328,0.008639238,0.000747332,0.000838666,0.002786579,0.000756082,0.000902332,0.000854916,0.000109833
17,2.522633,0.03125779,7.5e-07,0.005394159,6.67e-07,0.000472916,0.005151743,0.004943743,0.002734829,0.000746749,0.000840249,0.004808077,0.004279327,0.000871582,0.000904499,0.0001085
18,2.553891,0.0266408,1.084e-06,0.004241494,6.66e-07,0.000405,0.001116748,0.003151496,0.0107754,0.000761666,0.000840665,0.002736663,0.000747999,0.000900166,0.000853082,0.000108666
