OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
0,0,2.342047,7.75e-06,0.07431213,1.167e-06,2.130784,0.02507304,0.01222906,0.009690734,0.009414485,0.02119288,0.0113179,0.0105954,0.02257321,0.006788239,0.008067403
1,2.342047,0.2478198,1.416e-06,0.0925011,1e-06,0.008770402,0.01300981,0.03210003,0.01624681,0.01262748,0.02067113,0.009478901,0.01405106,0.02057722,0.004545159,0.003238245
2,2.589867,0.2279204,1.834e-06,0.07371138,1e-06,0.008009987,0.01659406,0.02317263,0.01032715,0.01096323,0.02537196,0.01705405,0.01236765,0.02335513,0.004688409,0.002301913
3,2.817788,0.2459077,1.666e-06,0.08662936,1.583e-06,0.00823007,0.01034873,0.04557743,0.01706556,0.008935402,0.02228163,0.009560151,0.008678903,0.0215078,0.004657909,0.002431496
4,3.063695,0.2283469,1e-06,0.07566579,1e-06,0.009799484,0.02505479,0.03010637,0.009321319,0.008481319,0.02150688,0.01184698,0.00844507,0.02124747,0.004540576,0.00232883
5,3.292042,0.2092457,1.416e-06,0.07740154,1.083e-06,0.008766403,0.004612659,0.02233355,0.01667381,0.008639153,0.02152647,0.0130579,0.00844557,0.0208843,0.004544576,0.002357246
6,3.501288,0.2388939,1.084e-06,0.07730321,1.083e-06,0.01031023,0.02504404,0.0303072,0.009393234,0.008954319,0.02053522,0.0119994,0.009446318,0.02488921,0.008243487,0.002465829
7,3.740182,0.2149967,1.166e-06,0.08564286,1.5e-06,0.009528651,0.007165989,0.01677189,0.01339364,0.01094673,0.02069805,0.01104765,0.01179898,0.02107105,0.004580243,0.002348246
8,3.955178,0.1985676,1.417e-06,0.07659513,9.17e-07,0.007694654,0.007249488,0.01660231,0.01255106,0.008662236,0.02107038,0.0110464,0.009336402,0.0208208,0.004606326,0.00233008
9,4.153746,0.2313744,1.417e-06,0.07762787,1e-06,0.009942234,0.02504371,0.0302287,0.009339901,0.00850332,0.0215593,0.01186865,0.008835985,0.02152097,0.004533492,0.00236783
10,4.38512,0.2521644,1.167e-06,0.07740621,1e-06,0.008044237,0.01667531,0.04328935,0.01288706,0.0135264,0.02362946,0.01106715,0.01241315,0.02597146,0.004729659,0.00252283
11,4.637285,0.2411093,1.5e-06,0.09398026,8.33e-07,0.007994654,0.01652756,0.03634419,0.009463734,0.008968819,0.02051347,0.009782901,0.009236235,0.02129138,0.004647076,0.002356663
12,4.878394,0.2204944,1.5e-06,0.07810954,1.083e-06,0.01046407,0.004198327,0.01066482,0.01700039,0.008685569,0.02152338,0.0233638,0.01640664,0.02293313,0.004541659,0.002600496
13,5.098888,0.2243845,1.417e-06,0.07758821,1.083e-06,0.008255403,0.01658781,0.03628044,0.009162069,0.009122235,0.02056022,0.009652484,0.008720986,0.02144138,0.004646492,0.002364247
14,5.323273,0.2108112,1.667e-06,0.07683621,9.17e-07,0.007837237,0.004467493,0.02245246,0.01706322,0.01060165,0.02047505,0.01392573,0.009480651,0.02078463,0.004535492,0.002348746
15,5.534084,0.2339302,1.25e-06,0.07749546,1e-06,0.0099299,0.02500704,0.03028129,0.009607151,0.008557652,0.02150738,0.01459456,0.00846507,0.02157938,0.004539076,0.002363996
16,5.768014,0.2094944,1.167e-06,0.07826312,9.17e-07,0.007598404,0.004494826,0.02247538,0.01684897,0.00856032,0.0209483,0.01314806,0.009475485,0.02065747,0.004653409,0.002368579
17,5.977509,0.199763,1.167e-06,0.07751196,1e-06,0.007744654,0.007265822,0.01659489,0.0125764,0.009427735,0.02056113,0.0109909,0.008560236,0.0216343,0.004541492,0.00235133
18,6.177272,0.2261477,1.25e-06,0.07689146,1.25e-06,0.007658154,0.01660764,0.03655086,0.0110014,0.009512652,0.02055022,0.01008315,0.008852985,0.02153488,0.00455141,0.002350412
19,6.403419,0.2243057,1.417e-06,0.07779537,9.17e-07,0.007947487,0.01667947,0.03625303,0.009147402,0.009080402,0.02054555,0.009967484,0.009176568,0.02071372,0.004652325,0.00234458
20,6.627725,0.2240996,1.166e-06,0.07811321,1.084e-06,0.00790082,0.01644947,0.03634494,0.009449985,0.008767069,0.02060522,0.009518901,0.009506485,0.02044013,0.004658993,0.002342079
21,6.851825,0.225012,1.5e-06,0.07789354,1e-06,0.008082987,0.01649831,0.03632169,0.009267235,0.008575236,0.02122055,0.009885484,0.009820318,0.02057897,0.004541492,0.002323663
22,7.076837,0.2198684,1.334e-06,0.07856187,1e-06,0.007679737,0.01067548,0.02271196,0.01742489,0.01176881,0.0205288,0.01317248,0.008879402,0.02146163,0.004536659,0.00246433
23,7.296705,0.2247398,1.333e-06,0.07719271,1.25e-06,0.00797007,0.01665597,0.03628778,0.009108652,0.008590319,0.02152055,0.009564818,0.008933818,0.02201488,0.004536576,0.002361079
24,7.521445,0.216025,1.667e-06,0.08162537,1.166e-06,0.008276404,0.007245905,0.01675347,0.01361973,0.01087907,0.02054397,0.0177208,0.01191123,0.02053247,0.004534076,0.002379663
